,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SH601166,0.042656835184529035,0.9166666666666666,-0.00045377016,0.14986775815486908,0.14986775815486908,SH601166,兴业银行,2026-04-01,0.0010587446,0.01429334,0.07407258,0.009528893,0.6666667,0.003705702,0.25926074,-0.0047644465,-0.33333334,0.9989424,1.0095189,0.99524057,1.0023423,0.99210525,1.0021778,0.9593466,0.9952813,1.0856625,0.99421054,0.99072593,0.98956895,0.98414093,1.004395,0.00535098,0.009967984,0.011065197,0.013317337,0.041070372,0.000943743,0.0010361338,0.0007634107,0.0008492801,-0.0015189492,0.0777644,0.09904407,0.16659664,0.31518736,0.41718537,0.0039020022,0.0046114624,0.0031786533,0.0035445031,0.040413976,1.0095189,1.0095189,1.0095189,1.0095189,1.1082042,0.9804523,0.9593214,0.9593214,0.95300037,0.942412,0.9987659,0.9963521,0.9963521,0.99582577,1.0341197,0.9888203,0.9888203,0.97887474,0.96833026,0.9700363,1.0,1.0,0.9,0.93333334,0.7,0.6725164,0.81037253,0.81037253,0.83158034,0.34735024,1.0,1.0,1.0,1.0,0.1,0.6,0.3,0.65,0.33333334,0.36666667,0.4,0.7,0.35,0.6666667,-0.26666668,0.4601083,-0.70305705,-0.47421834,-0.5445851,-0.2639403,0.32545617,-0.75754,-0.59574103,-0.44463485,-0.24996036,0.6,0.5,0.6,0.5,0.45,0.4,0.5,0.35,0.43333334,0.5,0.2,0.0,0.25,0.06666667,-0.05,0.6407771,0.4883043,0.62280715,0.5104586,0.41707662,0.3592229,0.51169574,0.37719288,0.48954138,0.58292335,0.2815542,-0.023391452,0.24561425,0.020917224,-0.16584675,0.8849379,0.95667857,0.9709946,1.0204736,1.2977185,0.112186454,0.21105435,0.18167685,0.23513934,0.58969617,0.5642607,1.3178259,1.1765628,1.1369804,1.091402,0.9505039,0.54662645,0.42643833,0.52478063,0.507829,0.0494961,0.45337355,0.57356167,0.47521937,0.49217102,0.9010078,0.09325293,-0.1471233,0.049561273,0.01565799,1.9627241480852256
1,SH601816,0.040547222288261714,0.9166666666666666,0.007299304,0.08764722943305969,0.08764722943305969,SH601816,京沪高铁,2026-04-01,-0.0019646348,0.0117878085,-0.16666667,0.0019646348,0.16666667,0.007858539,0.6666667,0.0039292695,0.33333334,1.0019685,1.003937,0.992126,0.99833685,0.98905104,1.0072993,0.9927007,0.98722625,1.0273722,0.99635035,0.9908759,0.99616784,0.9903893,0.988382,0.0028852888,0.014003493,0.012779218,0.015439042,0.018666998,0.001642333,0.0010838304,-0.00032380247,0.00075022585,-4.2286683e-05,0.8099978,0.054911252,0.022470867,0.18299747,0.0015651577,0.00036498252,0.00424687,0.006908256,-0.0012675495,0.012865482,1.014072,1.0171554,1.024596,1.024596,1.0314527,0.98074,0.95701873,0.95701873,0.9567352,0.9486186,0.9985401,0.9985401,1.0043795,1.0021898,1.0072993,0.9941606,0.9854014,0.9919708,0.97372264,0.96715325,1.0,0.9,0.675,0.75,0.7,0.57782316,0.7147263,0.63603216,0.63755274,0.6202932,0.8,0.1,0.45,0.6333333,0.016666668,0.4,0.4,0.7,0.23333333,0.41666666,0.4,-0.3,-0.25,0.4,-0.4,-0.75500405,-0.7762827,-0.37269494,-0.035457633,-0.5554063,-0.97291744,-0.72564226,-0.38201556,-0.07256398,-0.04174155,0.8,0.6,0.6,0.53333336,0.48333332,0.2,0.3,0.35,0.36666667,0.45,0.6,0.3,0.25,0.16666667,0.033333335,0.87499934,0.45833328,0.527027,0.5289256,0.4696357,0.12500063,0.5416667,0.47297296,0.47107437,0.53036433,0.74999875,-0.0833334,0.05405407,0.05785123,-0.060728632,1.1189727,1.3057927,1.2772117,1.4122084,1.5323244,0.1687372,0.35396123,0.30813453,0.5412915,0.61503714,0.33404073,1.6343673,1.681201,1.3609338,1.1335742,0.2948086,0.48395708,0.42082998,0.49962127,0.5076819,0.70519143,0.5160429,0.57917,0.5003787,0.49231812,-0.41038284,-0.03208583,-0.15834002,-0.0007574418,0.015363755,1.9562288994914985
2,SH601328,0.041771736294374716,0.9166666666666666,0.011542439,0.07707269489765167,0.07707269489765167,SH601328,交通银行,2026-04-01,0.0,0.014265295,0.0,0.008559211,0.60000235,0.005706084,0.39999762,-0.0028531267,-0.20000474,1.0,1.0085592,0.9942939,1.0011106,0.97429174,0.98426026,0.95015746,0.97271776,1.0299057,0.9904512,0.98189926,0.9768888,0.9679259,0.97439665,0.009991955,0.014396541,0.013309415,0.018067183,0.02829842,0.0060335724,0.0029603457,0.0015199317,0.0015789944,-0.00055847986,0.911566,0.3875966,0.4564553,0.59194595,0.11879289,-0.0025183607,0.004779162,0.008671856,0.009178703,0.042078484,1.0169683,1.0169683,1.0169683,1.0169683,1.0528432,0.9699308,0.94978064,0.9428614,0.9286297,0.92412484,0.9987408,0.9950682,0.98667365,0.98300105,0.9987408,0.98058766,0.9739769,0.96558243,0.9509969,0.9485835,1.0,1.0,1.0,1.0,0.81666666,0.63926125,0.7474502,0.7710303,0.80791825,0.58946663,0.8,0.9,0.95,0.96666664,0.016666668,0.2,0.3,0.05,0.26666668,0.36666667,0.6,0.6,0.9,0.7,-0.35,0.73907363,-0.22379096,-0.022890726,0.011321509,-0.46876532,0.80300224,-0.5223396,-0.29650232,0.04608018,0.07529024,1.0,0.8,0.75,0.6,0.48333332,0.0,0.2,0.25,0.36666667,0.48333332,1.0,0.6,0.5,0.23333333,0.0,1.0,0.58928573,0.6714801,0.5601852,0.46735388,0.0,0.4107143,0.32851985,0.4398148,0.5326461,1.0,0.17857143,0.3429603,0.12037037,-0.06529227,1.090932,1.1265398,1.0760499,1.1071706,1.1787616,0.24185987,0.22723635,0.21239457,0.35991585,0.39969113,1.0350636,1.4499614,1.3881794,1.3901167,1.1342683,0.49741817,0.49878308,0.42262122,0.49403152,0.5114182,0.50258183,0.50121695,0.5773788,0.50596845,0.4885818,-0.0051636966,-0.0024338546,-0.15475757,-0.011936944,0.022836389,1.808583491526286
3,SH601838,0.040732380083823426,0.8333333333333334,0.010695219,0.09523559361696243,0.09523559361696243,SH601838,成都银行,2026-04-01,-0.0011654989,0.009323991,-0.125,0.0052446956,0.5624947,0.0029137966,0.31250528,-0.003496398,-0.37498942,1.0011668,1.0064176,0.9970828,1.001484,0.99300694,1.0119293,0.97202796,0.9646236,0.9551625,0.9976964,0.99436444,0.99689424,0.98338133,0.96004385,0.002069061,0.008595996,0.010247377,0.02278406,0.030293431,0.00074043934,0.0009099622,0.00016608753,0.0019349627,0.001418535,0.32016397,0.102722555,0.009194257,0.5589651,0.6687797,0.000822717,0.0015407277,0.0015279043,-0.011438263,-0.0018906362,1.0100244,1.015344,1.0237985,1.0237985,1.0237985,0.9879558,0.9661266,0.96556455,0.934729,0.8968463,0.9990127,0.99893045,1.0040312,1.0001645,0.9950638,0.99629784,0.9943233,0.9907857,0.9629781,0.9370629,1.0,1.0,0.7,0.8,0.9,0.54576087,0.6882406,0.5913294,0.7328099,0.8125397,0.2,0.1,0.45,0.6333333,0.81666666,0.6,0.3,0.05,0.16666667,0.23333333,-0.4,-0.2,0.4,0.46666667,0.5833333,0.27632645,-0.69395274,-0.15180606,0.089059,-0.45770758,0.7085193,-0.63834816,-0.30077907,0.27448884,0.11278427,0.8,0.5,0.55,0.5,0.45,0.2,0.5,0.45,0.5,0.53333336,0.6,0.0,0.1,0.0,-0.083333336,0.7428591,0.4263962,0.59550554,0.57933575,0.54768145,0.2571409,0.5736038,0.4044945,0.42066425,0.45231855,0.4857182,-0.14720762,0.19101103,0.15867151,0.09536287,1.0357093,1.2772106,1.5968792,1.6718721,2.0745482,0.19168898,0.37259457,0.5033225,0.7632152,0.8423326,0.778476,1.4340549,1.1761936,1.8740348,1.4431347,0.17962216,0.44076166,0.41461304,0.49291685,0.49766153,0.8203778,0.5592383,0.585387,0.5070831,0.50233847,-0.6407557,-0.11847667,-0.17077394,-0.014166272,-0.004676955,1.761642427119046
4,SH600919,0.04256759550289907,0.8333333333333334,0.0055248737,0.10611817240715027,0.10611817240715027,SH600919,江苏银行,2026-04-01,-0.010064105,0.021042999,-0.4782638,0.009149079,0.43478018,0.0018298158,0.08695603,-0.017383369,-0.82608795,1.0101664,1.0194085,0.9981516,1.007721,0.9972376,1.0082873,0.9696133,0.9685083,0.9171271,1.0025415,0.9969061,0.99160224,0.98171276,0.95616025,0.0047139693,0.013702943,0.016214563,0.019769192,0.032783955,-5.526224e-05,0.0013393627,0.0015718859,0.0018010186,0.001551674,0.0003435765,0.087574996,0.32892707,0.6432211,0.6832475,-0.0024309678,-0.0029332554,-0.0065351697,-0.007827523,-0.001934651,1.0194085,1.0194085,1.0194085,1.0194085,1.0194085,0.99057865,0.9594773,0.95444906,0.94449025,0.89169335,1.0062984,1.0046409,1.0060774,1.0044199,0.9898343,0.9988951,0.99558014,0.97469616,0.9645304,0.93016577,0.6,0.6,0.65,0.76666665,0.8833333,0.3267912,0.67615354,0.7012212,0.74093753,0.8480328,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.25,0.2,0.23333333,0.4,0.7,0.75,0.8,0.76666665,0.8953297,-0.69392693,-0.21215636,0.056137666,-0.5647701,0.7103179,-0.5812614,-0.4005186,-0.26613015,-0.089422256,0.4,0.4,0.45,0.46666667,0.48333332,0.4,0.4,0.4,0.43333334,0.43333334,0.0,0.0,0.05,0.033333335,0.05,0.53968203,0.46478865,0.5816022,0.56319284,0.5794491,0.46031794,0.5352114,0.4183978,0.4368072,0.42055088,0.079364106,-0.070422724,0.16320437,0.12638564,0.15889825,0.9946713,1.1389974,1.109642,1.085255,1.3013161,0.17432864,0.31906617,0.2506471,0.25530794,0.387473,0.65778595,1.4178619,1.419738,1.4184809,1.2259257,0.42213926,0.5028899,0.46170306,0.51801383,0.49665815,0.5778607,0.49711013,0.53829694,0.4819862,0.50334185,-0.15572147,0.005779737,-0.07659389,0.036027625,-0.006683683,1.7613282763102527
5,SH600036,0.035269806425308345,0.8333333333333334,-0.0015107393,0.08263376355171204,0.08263376355171204,SH600036,招商银行,2026-04-01,0.0065722587,0.01567242,0.4193519,0.0055612093,0.35484052,0.0035389513,0.22580759,0.0045500007,0.290319,0.99347067,1.0055249,0.9899548,1.000078,0.98593843,1.0025179,0.9693589,0.98795277,1.0208406,0.9925547,0.99026924,0.9911989,0.9861941,0.98732716,0.0046919445,0.00847083,0.00936562,0.011046422,0.022454474,0.0010110405,0.0003530926,0.000292888,0.00071721105,-0.00024612583,0.11608375,0.0159271,0.03422931,0.32670248,0.03664447,0.005423201,0.008141849,0.006018638,0.0034063575,0.019933565,1.0055249,1.0065051,1.013542,1.013542,1.0531397,0.98264974,0.96810853,0.96810853,0.9545423,0.93696356,0.9947627,0.9983188,0.99897736,0.99827236,1.002301,0.9898354,0.9858842,0.9848305,0.97373617,0.9711021,1.0,1.0,0.85,0.9,0.78333336,0.7584761,0.8305799,0.7019371,0.77047276,0.5425936,1.0,0.2,0.45,0.6333333,0.1,0.6,0.3,0.65,0.33333334,0.31666666,0.4,-0.1,-0.2,0.3,-0.21666667,0.6676163,-0.3203523,-0.16470616,-0.27610964,-0.40465966,0.47101948,-0.49359152,-0.4694122,-0.18849759,-0.112022564,0.6,0.5,0.6,0.53333336,0.48333332,0.4,0.5,0.35,0.43333334,0.5,0.2,0.0,0.25,0.1,-0.016666668,0.75034565,0.48293948,0.61137694,0.5303059,0.47668982,0.24965435,0.5170605,0.38862306,0.4696941,0.5233102,0.5006913,-0.034121048,0.2227539,0.0606118,-0.046620388,0.74314487,0.76792824,0.7574815,0.80533236,1.1040441,0.16814384,0.159429,0.1376676,0.21328549,0.5046995,1.0263115,1.35907,1.1481961,1.1096307,1.1423246,0.68997884,0.56230074,0.45870364,0.53964645,0.5134503,0.31002116,0.43769926,0.54129636,0.46035355,0.48654965,0.3799577,0.124601476,-0.082592756,0.07929292,0.026900692,1.6116072458975852
6,SH601658,0.03793780606732398,0.6666666666666666,0.0129311085,0.10786493122577667,0.10786493122577667,SH601658,邮储银行,2026-04-01,-0.0077670086,0.01747572,-0.44444567,0.0058252085,0.33333153,0.0038835043,0.22222283,-0.009708713,-0.55555433,1.0078278,1.0136986,0.9960861,1.0044225,0.99425286,1.0043104,0.96408045,1.0172414,1.033046,0.99770117,0.9908046,0.9895833,0.9880268,1.0021073,0.005620019,0.0139663005,0.01359759,0.01399808,0.023314148,0.0014367859,0.0020898657,0.0009733377,0.0003420148,-0.00089600263,0.1633987,0.20525107,0.17933755,0.04626521,0.4504839,-0.00057471433,-0.0002089853,0.0011699611,0.007013969,0.0243248,1.0136986,1.0136986,1.0154072,1.019719,1.0561548,0.9785953,0.9535019,0.9535019,0.9535019,0.9535019,1.0008621,1.0,1.0,1.0,1.016092,0.9933908,0.9873563,0.9775862,0.97413796,0.98419535,0.7,0.85,0.8,0.81666666,0.5833333,0.6097627,0.77243596,0.7511164,0.7022067,0.45296425,1.0,1.0,0.45,0.033333335,0.16666667,0.6,0.3,0.65,0.76666665,0.8833333,0.4,0.7,-0.2,-0.73333335,-0.71666664,0.9020188,-0.57904744,-0.065881945,-0.28066036,-0.1558815,0.94251484,-0.44542748,-0.34378666,-0.2462889,-0.10151495,0.6,0.5,0.65,0.5,0.48333332,0.4,0.5,0.35,0.5,0.48333332,0.2,0.0,0.3,0.0,0.0,0.5833333,0.4823529,0.59541976,0.46774203,0.46723646,0.41666666,0.5176471,0.40458027,0.532258,0.53276354,0.16666667,-0.03529417,0.19083947,-0.06451593,-0.06552709,1.0850657,1.1676705,1.16336,1.1751422,1.1941572,0.23926798,0.31574538,0.2629402,0.31413987,0.27757105,0.56654996,1.1417052,1.1455288,1.1106852,1.0132145,0.50805295,0.46056965,0.43803325,0.5058101,0.51110077,0.49194708,0.5394304,0.5619668,0.49418995,0.48889923,0.016105846,-0.078860715,-0.12393351,0.011620108,0.022201516,1.4995099781950774
7,SH601229,0.03410057020259582,0.75,0.004034519,0.09261761605739594,0.09261761605739594,SH601229,上海银行,2026-04-01,-0.0030242437,0.018145218,-0.16666892,0.013104838,0.72221994,0.0020161353,0.11111111,-0.0141129475,-0.7777778,1.0030334,1.016178,0.99797773,1.0062863,0.9919312,1.0088757,0.99677247,1.0180205,1.0029585,0.9973104,0.9959925,0.9931012,0.9944325,0.988735,0.0060351817,0.009160028,0.0130443275,0.013058896,0.025584394,0.0028240953,0.00032438175,0.0009903058,5.3252897e-06,-3.2362404e-06,0.5474166,0.011495574,0.20172665,1.2887696e-05,4.880127e-06,-0.0029585892,0.0025477887,-0.002509056,0.005490271,0.011360457,1.016178,1.016178,1.019171,1.0252925,1.0313593,0.98475975,0.9714809,0.962401,0.962401,0.920944,1.002098,1.002098,1.0029585,1.0039806,1.0080689,0.99150085,0.99150085,0.9836471,0.9853685,0.9736956,0.6,0.65,0.675,0.6666667,0.6333333,0.48507664,0.63805246,0.66230434,0.5978388,0.71598727,1.0,1.0,0.45,0.033333335,0.06666667,0.6,0.3,0.2,0.46666667,0.36666667,0.4,0.7,0.25,-0.43333334,-0.3,-0.21117607,-0.67107993,-0.058329456,-0.009595597,-0.2653764,-0.64055544,-0.6700509,-0.0715479,-0.067351125,0.1554944,0.2,0.2,0.35,0.36666667,0.41666666,0.6,0.7,0.6,0.56666666,0.51666665,-0.4,-0.5,-0.25,-0.2,-0.1,0.7205868,0.44444433,0.509772,0.46100104,0.49741176,0.27941322,0.55555564,0.490228,0.53899896,0.5025883,0.44117355,-0.11111134,0.019543994,-0.077997915,-0.00517649,0.90438116,0.9175225,0.95163816,0.96465355,1.2196411,0.108139515,0.13895175,0.15286018,0.20418715,0.43051866,1.4112105,1.2611713,0.95343894,0.93007386,1.2452013,0.5581109,0.5459418,0.46228886,0.4679264,0.5090882,0.4418891,0.45405817,0.53771114,0.5320736,0.49091175,0.116221786,0.091883674,-0.07542228,-0.06414718,0.018176476,1.4659053808018834
8,SH601006,0.033910856071415085,0.75,0.0,0.0963933989405632,0.0963933989405632,SH601006,大秦铁路,2026-04-01,-0.0074487836,0.011173268,-0.66666114,0.0018622422,0.16666943,0.0018622422,0.16666943,-0.0074487836,-0.66666114,1.0075047,1.0093809,0.99812376,1.0001884,0.9907736,0.9850958,0.9716111,0.95315826,0.9907736,1.0036906,0.99730307,0.9940738,0.9819494,0.9673882,0.00617501,0.008282134,0.01200091,0.020762775,0.022921594,-0.0016323664,0.0017377464,0.001025097,0.00201833,0.00086060114,0.17470285,0.40355217,0.2553698,0.73234415,0.42994612,-0.00042583147,-0.0051229135,-0.0038122318,-0.011215156,0.0072240517,1.0169353,1.0169353,1.0186561,1.0186561,1.0186561,0.9865179,0.9808888,0.96623546,0.94347554,0.9286209,1.0070972,1.0039744,1.0039744,1.0004258,0.99105746,0.9992903,0.99034774,0.9843861,0.9567069,0.9453513,0.4,0.7,0.675,0.78333336,0.89166665,0.4432356,0.5301812,0.644107,0.7518487,0.79279053,0.8,0.9,0.3,0.53333336,0.76666665,0.2,0.3,0.1,0.1,0.23333333,0.6,0.6,0.2,0.43333334,0.53333336,0.5577887,0.21241407,0.44742548,0.5823626,0.1927419,0.81483084,0.4268225,0.47738415,0.5338933,0.3843234,0.6,0.6,0.55,0.56666666,0.46666667,0.4,0.4,0.4,0.4,0.45,0.2,0.2,0.15,0.16666667,0.016666668,0.58666664,0.5913043,0.59174305,0.61,0.5108878,0.41333336,0.40869567,0.40825695,0.38999996,0.48911223,0.17333329,0.18260865,0.1834861,0.22000006,0.021775566,1.6543286,1.5954176,1.5757742,1.4910551,1.5318478,0.7466575,0.5826144,0.51957196,0.6227105,0.6452029,1.1547534,1.1987759,1.218626,1.2140201,1.1000355,0.44040403,0.47147316,0.45219806,0.5124637,0.50174576,0.55959594,0.52852684,0.547802,0.4875363,0.49825424,-0.11919194,-0.057053685,-0.09560388,0.024927385,0.0034914925,1.418633469988644
9,SH601169,0.034105765363365174,0.6666666666666666,0.0018484592,0.10114645212888718,0.10114645212888718,SH601169,北京银行,2026-04-01,-0.005434807,0.010869514,-0.5000046,0.0018116023,0.16666819,0.0036231051,0.33332723,-0.003623304,-0.33334553,1.0054646,1.007286,0.9963571,1.0017508,0.9981516,1.0018485,0.9744918,0.99260634,1.0,0.99741226,0.9908688,0.99179304,0.9889834,0.98516333,0.0048201093,0.012926711,0.011058472,0.010446543,0.016635986,0.0020332574,0.0022786031,0.0004947672,0.00048227762,9.367944e-05,0.44484732,0.28482148,0.070061535,0.16517745,0.009671444,-0.0014787508,-0.0011225265,0.0035066893,0.0040235654,0.012073126,1.0091617,1.0091617,1.0110103,1.0110103,1.0198265,0.9853748,0.9564038,0.9564038,0.9564038,0.9490104,1.0007393,0.99852127,1.0,0.99852127,1.0,0.99519414,0.98639566,0.9837339,0.98188543,0.9704252,0.8,0.9,0.8,0.8666667,0.8,0.6148429,0.8263448,0.7983706,0.7983706,0.72002834,0.8,0.9,0.45,0.6333333,0.1,0.6,0.3,0.65,0.76666665,0.23333333,0.2,0.6,-0.2,-0.13333334,-0.13333334,0.8330112,-0.58823925,-0.2256089,-0.16065677,-0.45489538,0.73252016,-0.40276918,-0.3536123,-0.31570607,-0.18264581,0.4,0.4,0.55,0.5,0.5,0.6,0.6,0.4,0.43333334,0.43333334,-0.2,-0.2,0.15,0.06666667,0.06666667,0.53846055,0.49140865,0.58353484,0.5181817,0.5,0.46153942,0.50859135,0.41646513,0.48181832,0.5,0.07692116,-0.017182685,0.1670697,0.03636336,0.0,0.96126854,1.1437347,1.0985918,1.0735838,1.2020222,0.32565373,0.42251152,0.32671064,0.31434748,0.49700722,0.7437688,1.239579,1.4243766,1.4067651,1.4171182,0.4684717,0.4819695,0.46126494,0.5095403,0.50884235,0.5315283,0.51803046,0.5387351,0.4904597,0.49115768,-0.06305657,-0.036060967,-0.077470124,0.019080585,0.017684644,1.4061347391528045
