,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SH600377,0.0681896408590275,1.0,,,,SH600377,宁沪高速,2026-05-26,0.012145731,0.016194334,0.7499988,0.0,0.0,0.004048603,0.25000122,0.016194334,1.0,0.98800004,1.0,0.984,0.99493814,0.9920775,0.99691904,0.97601235,0.92253524,0.9559859,0.9876761,0.9867518,0.98186624,0.9692782,0.9677707,0.008123256,0.007222426,0.00957866,0.02276445,0.021842245,0.003191015,0.00053883507,0.0010563371,0.0022308624,0.00021821767,0.3857779,0.051021934,0.42566076,0.7442742,0.030442834,0.0059419125,0.010823467,0.008098583,-0.0016256933,0.025791874,1.0,1.0041388,1.0041388,1.0041388,1.0048599,0.97275305,0.97275305,0.95594746,0.91757476,0.91757476,0.9910211,0.9908451,0.98983276,0.98754406,0.98754406,0.9833627,0.9801937,0.97570425,0.94322187,0.9498239,1.0,1.0,1.0,1.0,1.0,1.0,0.86812985,0.9141164,0.9521874,0.9443219,1.0,0.1,0.55,0.7,0.23333333,0.6,0.8,0.1,0.06666667,0.53333336,0.4,-0.7,0.45,0.6333333,-0.3,0.1327365,-0.007313433,0.27896476,0.27402192,0.12570648,0.012541145,0.16194427,0.54508716,0.51525694,0.26815587,0.6,0.4,0.5,0.56666666,0.56666666,0.4,0.6,0.5,0.4,0.4,0.2,-0.2,0.0,0.16666667,0.16666667,0.59473604,0.51955307,0.57708615,0.6767066,0.54156274,0.405264,0.4804469,0.42291385,0.32329336,0.45843726,0.18947203,0.03910618,0.15417229,0.35341328,0.083125494,0.9972889,1.005618,1.1206526,1.1286635,1.3153048,0.0964806,0.08072154,0.29327977,0.36833704,0.46383962,0.42264232,0.56405264,0.9048176,1.0991151,1.0613029,0.50767905,0.21521091,0.48888442,0.51216114,0.49471742,0.49232098,0.7847891,0.51111555,0.48783886,0.5052826,0.015358035,-0.5695782,-0.02223116,0.0243223,-0.010565156,2.643103007893223
1,SH600018,0.05076221640241749,0.85,,,,SH600018,上港集团,2026-05-26,-0.001964711,0.009823135,-0.20000856,0.003929212,0.3999957,0.003929212,0.3999957,-0.001964711,-0.20000856,1.0019686,1.0059055,0.99606305,1.0010052,1.0139697,1.0116415,0.96856815,0.9860303,0.99534345,1.0027939,1.0040746,0.9947614,0.98816454,0.99619716,0.0029219869,0.0051260553,0.017128093,0.017444972,0.01713734,-0.0013969819,-0.00054327253,0.0021287187,0.0014215754,-0.00030412,0.57143265,0.1029628,0.540613,0.514637,0.096051246,0.0,-0.0016298023,-0.014984208,-0.008777413,0.012774382,1.0161128,1.0161128,1.0161128,1.0161128,1.0327575,0.99401075,0.9894422,0.9560429,0.9560429,0.9560429,1.0058208,1.0062864,1.0058208,1.0058208,1.0093131,1.0,1.0,0.9811409,0.97043073,0.98253787,0.3,0.25,0.475,0.65,0.49166667,0.27098188,0.39585865,0.7317659,0.7317659,0.5729949,0.4,0.7,0.85,0.9,0.06666667,0.6,0.4,0.15,0.43333334,0.71666664,-0.2,0.3,0.7,0.46666667,-0.65,0.4042561,0.46970716,0.591993,0.44523856,0.44067496,0.41214323,0.6061096,0.47571108,0.16260041,-0.060527846,0.2,0.2,0.4,0.36666667,0.43333334,0.6,0.7,0.45,0.53333336,0.5,-0.4,-0.5,-0.05,-0.16666667,-0.06666667,0.16666584,0.39583287,0.63106775,0.5422535,0.5052356,0.83333415,0.60416716,0.36893225,0.4577465,0.49476442,-0.66666836,-0.20833427,0.26213554,0.08450702,0.010471193,1.1378375,1.3448005,1.3203464,1.2393817,1.5042598,0.11346444,0.2624874,0.41522923,0.44264013,0.7288667,0.6813861,1.1451969,1.0748478,1.0912074,1.3292562,0.17386939,0.44061166,0.5186632,0.5086561,0.4717313,0.8261306,0.55938834,0.4813368,0.4913439,0.5282687,-0.65226126,-0.11877667,0.037326403,0.017312218,-0.05653739,2.2331341623205825
2,SH601988,0.054566744261686874,0.9,,,,SH601988,中国银行,2026-05-26,0.0051020724,0.01870748,0.272729,0.011904836,0.6363677,0.0017005719,0.09090331,-0.005102191,-0.27273536,0.99492383,1.0118444,0.9932319,1.004923,0.98624754,0.9711854,0.98493785,0.96267194,0.8952194,0.9872953,0.9824493,0.97701377,0.9779961,0.9561013,0.01461127,0.011907658,0.0115242535,0.012525729,0.033118293,0.008775367,0.003040219,0.0009207669,0.0002878838,0.001545143,0.9017678,0.59754205,0.22343019,0.04093833,0.6638979,-0.004846088,0.0038697498,0.014238935,0.017829588,-0.0016830262,1.0118444,1.0118444,1.0118444,1.0118444,1.0118444,0.9579681,0.9579681,0.9495144,0.9440614,0.88834137,0.99895215,0.9929273,0.9836281,0.9866405,0.98336613,0.9782581,0.97315,0.9656844,0.9656844,0.913294,1.0,1.0,1.0,0.96666664,0.96666664,0.7801556,0.7801556,0.80997276,0.82526004,0.90409625,1.0,1.0,1.0,1.0,1.0,0.4,0.7,0.45,0.06666667,0.05,0.6,0.3,0.55,0.93333334,0.95,0.5062558,0.58046263,0.3936364,0.2912393,0.028771747,0.6442416,0.5925203,0.39575887,0.5388651,0.45188335,0.8,0.7,0.45,0.46666667,0.5,0.2,0.2,0.45,0.43333334,0.4,0.6,0.5,0.0,0.033333335,0.1,0.6206897,0.6833332,0.5583755,0.58990526,0.6129944,0.3793103,0.3166668,0.44162452,0.41009474,0.38700566,0.24137938,0.36666638,0.11675098,0.17981052,0.2259887,0.94529724,0.8769689,0.7866743,0.7435479,0.8568845,0.16740917,0.17323467,0.18369119,0.17301756,0.31219253,0.6847036,0.86662537,0.927379,0.9373607,1.4429477,0.53330463,0.5333085,0.56926006,0.52515775,0.51251394,0.46669537,0.4666915,0.43073997,0.47484222,0.48748603,0.06660928,0.06661699,0.13852008,0.05031556,0.025027908,2.2052276558361523
3,SZ000333,0.04023922489260576,0.9,,,,,,2026-05-26,-0.003132869,0.015914857,-0.19685185,0.011278204,0.7086588,0.0015037843,0.09448934,-0.012907288,-0.8110213,1.0031427,1.0144564,0.99849147,1.0030347,1.0182313,1.0067977,1.0037667,0.96191055,1.0018945,1.0122983,1.019778,1.0148759,1.0038469,0.98083043,0.011628802,0.014049743,0.012046306,0.021348443,0.030470088,-0.0070272856,-0.0027739285,0.00045599192,0.0018234481,0.001271935,0.9129465,0.35732648,0.050150413,0.5654005,0.53147423,0.0017562535,-0.0072953533,-0.01920779,-0.030286847,-0.01835253,1.045258,1.0489001,1.0489001,1.0489001,1.0489001,0.9904541,0.9904541,0.9904541,0.9490902,0.9021992,1.0245163,1.030329,1.0245163,1.0200099,1.0104841,1.002621,1.0080012,1.0032763,0.995226,0.9584916,0.2,0.1,0.1,0.33333334,0.6666667,0.17418313,0.16332889,0.16332889,0.51006746,0.6666677,0.4,0.4,0.7,0.8,0.9,0.8,0.9,0.95,0.1,0.38333333,-0.4,-0.5,-0.25,0.7,0.51666665,0.79495245,0.8516794,0.62208706,0.7171598,0.31415036,-0.04634925,0.4771332,0.309994,0.4124868,0.055589072,0.2,0.5,0.45,0.5,0.46666667,0.6,0.4,0.5,0.46666667,0.51666665,-0.4,0.1,-0.05,0.033333335,-0.05,0.20405337,0.46148023,0.48763716,0.58663684,0.49819875,0.7959466,0.5385198,0.51236284,0.41336316,0.50180125,-0.59189326,-0.07703954,-0.024725664,0.17327365,-0.0036025236,1.142651,1.329648,1.3334954,1.22758,1.1512158,0.1577383,0.24892619,0.24674246,0.27169782,0.37269604,1.0203167,0.90171623,0.8095094,0.8034054,1.8209983,0.1723403,0.34192944,0.47023275,0.50344425,0.49475157,0.8276597,0.65807056,0.5297673,0.49655575,0.5052484,-0.6553194,-0.31614116,-0.059534498,0.006888489,-0.010496846,2.1141422849335525
4,SH688036,0.06395122541928988,1.0,,,,SH688036,传音控股,2026-05-26,0.0038301772,0.033833332,0.11320721,0.023619527,0.6981141,0.006383629,0.18867868,-0.013405721,-0.39622822,0.9961844,1.0235294,0.9898252,1.0080833,1.03463,0.9136677,0.85352606,0.8176351,0.9128916,1.0015714,0.9834999,0.9444854,0.90672874,0.88468975,0.009029682,0.03510772,0.048878107,0.06789459,0.0579674,0.00084391935,0.008676735,0.007381971,0.0073706447,0.0017408399,0.021837205,0.55991083,0.79833275,0.91336066,0.2750742,-0.0032592863,-0.022545176,-0.014614144,-0.013603118,0.06395545,1.0344535,1.0358837,1.0358837,1.0358837,1.0358837,0.96934724,0.9043828,0.83763963,0.7999185,0.79612994,1.0074304,1.0074304,1.0012804,0.9802115,0.9217189,0.99728394,0.94759923,0.90565526,0.828189,0.8323601,0.4,0.6,0.8,0.8666667,0.93333334,0.4708109,0.72712207,0.8189924,0.8479281,0.85033107,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.1,0.1,0.06666667,0.3,-0.6,0.4,0.65,0.76666665,0.6166667,-0.34215537,0.31454414,0.44661438,0.7252328,0.6719335,-0.03403309,0.43361714,0.70551395,0.7059491,0.57937217,0.4,0.7,0.55,0.56666666,0.46666667,0.6,0.3,0.45,0.43333334,0.53333336,-0.2,0.4,0.1,0.13333334,-0.06666667,0.27547157,0.7179236,0.71327686,0.6902064,0.53959435,0.72452843,0.28207642,0.2867231,0.30979356,0.46040565,-0.44905686,0.43584716,0.4265538,0.38041288,0.07918873,1.3983018,1.5929421,1.4676226,1.2494845,1.1017351,0.33644736,0.5200649,0.53981394,0.5749003,0.5059266,0.83170044,1.1687812,1.243208,1.331704,1.5059661,0.19322085,0.5129168,0.50216514,0.50991434,0.5106867,0.80677915,0.48708317,0.49783483,0.4900857,0.4893133,-0.6135583,0.025833657,0.0043303133,0.019828627,0.021373387,2.100040009157989
