,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
0,2026-05-27,SH600000,0.02207457527786781,EXP_CatBoostModel_Alpha158_csi300_custom_step0_s_20260527_13,65a5e7d8dab74e7b9ec501af09d7848c,0.02,,,
1,2026-05-27,SH600016,-0.14144068956375122,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
2,2026-05-27,SH600015,-0.056825872510671616,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
3,2026-05-27,SH600011,0.05742589011788368,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
4,2026-05-27,SH600010,0.2341788411140442,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
5,2026-05-27,SH600009,-0.12003101408481598,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
6,2026-05-27,SH600000,0.012890923768281937,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
7,2026-05-27,SZ302132,-0.06351407617330551,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
8,2026-05-27,SZ301269,-0.23572707176208496,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
9,2026-05-27,SZ301236,-0.01412015501409769,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
10,2026-05-27,SH600018,-0.020857904106378555,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
11,2026-05-27,SZ300999,-0.11785313487052917,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
12,2026-05-27,SZ300896,-0.1306282877922058,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
13,2026-05-27,SZ300866,-0.041144710034132004,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
14,2026-05-27,SZ300832,-0.08947903662919998,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
15,2026-05-27,SZ300803,-0.011673225089907646,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
16,2026-05-27,SZ300782,-0.00932391919195652,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
17,2026-05-27,SZ300760,-0.15694096684455872,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
18,2026-05-27,SZ300759,0.024791821837425232,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
19,2026-05-27,SZ300750,-0.03561672568321228,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
20,2026-05-27,SZ300661,-0.07793965190649033,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
21,2026-05-27,SZ300979,0.039634328335523605,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,84da2a9d960c4ce2a464329e28048842,0.046,,,
22,2026-05-27,SH600019,-0.06221945956349373,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
23,2026-05-27,SH600023,0.06000722199678421,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
24,2026-05-27,SH600025,-0.036693938076496124,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
25,2026-05-27,SH600176,0.2870011329650879,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
26,2026-05-27,SH600161,-0.02353748306632042,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
27,2026-05-27,SH600160,0.25936177372932434,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
28,2026-05-27,SH600150,0.2302287220954895,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
29,2026-05-27,SH600115,0.1640695035457611,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
30,2026-05-27,SH600111,0.25112688541412354,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
31,2026-05-27,SH600104,-0.0619051419198513,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
32,2026-05-27,SH600089,-0.027938751503825188,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260527_13,f2598c94ce6b41c299105ed4f38bf1a3,0.098,,,
