,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SZ000977,0.07326105914194501,1.0,,,,,,2026-04-17,-0.010872672,0.026529452,-0.40983406,0.010147918,0.3825152,0.005508861,0.20765077,-0.015511729,-0.58469844,1.0109922,1.0212517,0.9944306,1.0086653,0.98930866,0.83027816,0.89989245,0.8695528,1.0193409,1.0016685,0.95761454,0.9009747,0.90063006,0.9117425,0.004803409,0.0622513,0.073443875,0.060447883,0.05170771,0.00010318073,0.018108904,0.010484093,0.0031492382,-0.0005409573,0.0011535544,0.7757092,0.713212,0.21035388,0.03338222,-0.0018747981,-0.039104592,-0.0005735913,0.053706005,0.10421575,1.0287164,1.0287164,1.0287164,1.0287164,1.0287164,0.9645224,0.8314593,0.8113634,0.8113634,0.8113634,1.0031877,1.0009,0.99718994,0.96080434,0.95468813,0.9992975,0.90925336,0.8338302,0.8478145,0.8687054,0.4,0.7,0.85,0.9,0.95,0.55266136,0.8544212,0.86788106,0.86788106,0.86788106,0.2,0.6,0.8,0.8666667,0.93333334,0.2,0.1,0.35,0.56666666,0.78333336,0.0,0.5,0.45,0.3,0.15,0.32667044,0.71544105,0.85854673,0.8303431,0.7477714,0.7602221,0.7435907,0.5238105,0.5964436,0.5389702,0.4,0.7,0.5,0.53333336,0.46666667,0.6,0.3,0.5,0.46666667,0.53333336,-0.2,0.4,0.0,0.06666667,-0.06666667,0.63371795,0.9264202,0.6110786,0.6028811,0.49143016,0.36628202,0.07357978,0.38892138,0.3971189,0.50856984,0.26743597,0.8528404,0.22215725,0.20576218,-0.017139701,1.284062,1.2550021,0.90812963,0.8493067,0.8043915,0.30532154,0.45084867,0.48090652,0.41748792,0.32962403,0.7687603,0.92981565,0.9197233,0.9415258,0.94540954,0.12967068,0.5918452,0.5448949,0.53334403,0.47918195,0.8703293,0.40815482,0.4551051,0.46665597,0.52081805,-0.74065864,0.1836904,0.08978978,0.06668809,-0.041636117,2.446731627256632
1,SZ000938,0.057306365408894035,1.0,,,,,,2026-04-17,-0.008234831,0.025778772,-0.31944227,0.01611176,0.6250011,0.0014321824,0.055556655,-0.022914408,-0.8888867,1.0083032,1.0245488,0.9985559,1.0076902,0.9779552,0.8736475,0.9664273,0.87000704,0.97760135,1.0062594,0.9771969,0.9459323,0.9359945,0.9282519,0.010927444,0.037746996,0.044203125,0.04303161,0.04002909,-0.003064009,0.010549218,0.0052664666,0.0031694977,0.00040675455,0.19655442,0.71595746,0.49682194,0.42044324,0.031492945,-0.00013145304,-0.024668353,0.004036239,0.018047765,0.05974883,1.0353551,1.0353551,1.0353551,1.0353551,1.0353551,0.967482,0.8761318,0.8609788,0.83858865,0.83858865,1.015138,1.0074223,0.9936091,0.97593284,0.9610577,0.99840224,0.94913536,0.90750325,0.8994843,0.898018,0.4,0.7,0.85,0.9,0.93333334,0.47909993,0.77795255,0.79724807,0.8203193,0.8203193,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.35,0.06666667,0.53333336,0.6,0.8,0.6,0.9,0.45,0.7245834,0.6034413,0.80578864,0.78824705,0.71136236,0.8987345,0.9439328,0.75942516,0.7087922,0.61803263,0.4,0.6,0.5,0.56666666,0.45,0.6,0.4,0.5,0.43333334,0.55,-0.2,0.2,0.0,0.13333334,-0.1,0.6049088,0.7582146,0.5382136,0.5948639,0.5102475,0.39509118,0.24178538,0.46178636,0.4051361,0.48975247,0.20981763,0.51642925,0.07642728,0.18972777,0.020495044,1.4506408,1.3529602,1.1230091,1.0664423,0.8326556,0.40350604,0.35765693,0.34995624,0.4359207,0.42488825,0.91448945,0.8264243,0.87087727,0.9824488,1.212763,0.42583853,0.5196082,0.43383175,0.5240435,0.49011114,0.57416147,0.4803918,0.56616825,0.47595647,0.5098888,-0.14832295,0.03921643,-0.13233651,0.048087034,-0.0197777,2.155839957610726
2,SH601169,0.042342066712182234,0.8695652173913043,,,,SH601169,北京银行,2026-04-17,-0.0018415763,0.005524931,-0.33332112,0.0018416774,0.33333942,0.0018416774,0.33333942,-0.0018415763,-0.33332112,1.001845,1.00369,0.99815494,1.0000032,0.9947565,1.0149813,1.0074905,0.99662924,0.99288386,1.001573,1.0005243,1.0025655,1.0039824,0.9953308,0.005239445,0.0053324574,0.010228331,0.009896707,0.014323196,0.0010486986,0.00024969346,0.00011573796,-6.84067e-05,0.0005597472,0.10015459,0.02009884,0.004481363,0.0037026913,0.4658047,-0.0036704047,-0.0016479294,-0.0036650219,-0.002990587,-0.01184335,1.0112085,1.0166612,1.0223904,1.0242631,1.0242631,0.99106544,0.99106544,0.96894085,0.96894085,0.96145046,1.0033708,1.0044943,1.0097378,1.0131085,1.0093633,0.9989513,0.9947565,0.9962547,0.9962547,0.9831461,0.4,0.5,0.375,0.35,0.60833335,0.44355354,0.34906438,0.58109385,0.5614221,0.61372226,0.6,0.1,0.4,0.26666668,0.6333333,0.2,0.6,0.1,0.4,0.05,0.4,-0.5,0.3,-0.13333334,0.5833333,0.5479737,0.5212652,-0.1572462,0.050645567,-0.44399717,0.35320202,0.4228396,-0.25219387,-0.18322971,-0.00870912,0.4,0.3,0.4,0.46666667,0.48333332,0.4,0.6,0.55,0.46666667,0.45,0.0,-0.3,-0.15,0.0,0.033333335,0.6093758,0.39247334,0.47835517,0.50777197,0.50800335,0.3906242,0.60752666,0.52164483,0.492228,0.49199662,0.21875158,-0.2150533,-0.043289673,0.015543983,0.016006766,1.141218,1.191096,1.630552,1.7291964,2.0350757,0.19825763,0.2177355,0.72352415,0.63856566,0.74316114,0.7850374,0.6888112,1.4774985,1.5017806,1.1337703,0.5151092,0.35423237,0.45942974,0.47042528,0.412218,0.4848908,0.6457676,0.54057026,0.52957475,0.587782,0.030218419,-0.29153526,-0.0811405,-0.059149448,-0.175564,2.1268242987328514
3,SZ000895,0.04706134135414882,0.9565217391304348,,,,,,2026-04-17,-0.007340119,0.017476344,-0.42000312,0.0059419344,0.3399987,0.0041942913,0.23999819,-0.009087763,-0.5200036,1.0073944,1.0133803,0.9957747,1.0033666,0.98380303,1.008807,1.0010628,0.9345158,0.9035265,1.005636,0.99172807,0.98792493,0.9859537,0.95284384,0.0060294312,0.015711652,0.01678825,0.017485807,0.03716868,0.00028217243,0.004355175,0.0015598647,0.0009443897,0.0019492389,0.0054754075,0.7043344,0.3021559,0.22606474,0.83883333,-0.006200327,-0.011326362,-0.0027436716,0.00035268144,-0.010346411,1.021132,1.021132,1.021132,1.021132,1.021132,0.9848581,0.9598599,0.9334553,0.93275464,0.8876797,1.0113429,1.0052817,1.0013412,1.0015563,0.9971857,1.0002834,0.97739506,0.9720474,0.9689521,0.9119083,0.2,0.6,0.675,0.65,0.825,0.41743225,0.65511215,0.7589782,0.76088893,0.8416513,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.3,0.2,0.033333335,0.13333334,0.4,0.5,0.7,0.9,0.8333333,0.2990018,0.35995594,-0.38111326,-0.14581008,0.04129433,0.91146153,0.6234062,-0.28299156,-0.092295095,0.09056903,0.4,0.4,0.45,0.53333336,0.5,0.6,0.6,0.55,0.46666667,0.5,-0.2,-0.2,-0.1,0.06666667,0.0,0.6642715,0.4592608,0.4978474,0.5995544,0.59660465,0.33572856,0.54073924,0.5021526,0.40044555,0.40339538,0.3285429,-0.081478424,-0.00430521,0.1991089,0.19320926,1.4351832,1.3490673,1.577856,1.5267388,1.4591581,0.34962508,0.26679417,0.4748563,0.42776445,0.44316393,0.9333828,0.82085705,1.0557175,1.1030477,1.1661067,0.46240816,0.4330891,0.47295853,0.4926866,0.4866339,0.5375919,0.56691086,0.5270415,0.5073134,0.5133661,-0.0751837,-0.13382177,-0.054082952,-0.014626794,-0.026732184,2.085572098420042
4,SH600919,0.04178296406679948,0.9130434782608695,,,,SH600919,江苏银行,2026-04-17,-0.0064220033,0.01100925,-0.58332795,0.0027523714,0.25000536,0.001834875,0.16666667,-0.0073395,-0.6666667,1.0064635,1.0092337,0.99815327,1.0025845,0.99503314,1.004415,1.0033113,0.97737306,0.9343267,1.0027593,1.0004967,0.99820644,0.9947388,0.9666667,0.0056280578,0.00506772,0.010361664,0.0140160965,0.035524435,0.001158941,0.00077931443,0.0007273983,0.00087489956,0.0018550346,0.10600968,0.21677622,0.17248592,0.30197012,0.8316671,-0.0050772787,-0.004003625,-0.005116704,-0.007424836,-0.021390202,1.0162237,1.0162237,1.0182832,1.0182832,1.0182832,0.98948526,0.98133564,0.95841825,0.95339555,0.89070916,1.0070641,1.0047462,1.004415,1.0047462,0.99911696,0.99867547,0.9974614,0.99613684,0.9870861,0.9343267,0.6,0.7,0.65,0.6333333,0.81666666,0.39324483,0.5349789,0.69459146,0.718232,0.8566849,0.8,0.9,0.45,0.6333333,0.81666666,0.2,0.3,0.1,0.13333334,0.05,0.6,0.6,0.35,0.5,0.76666665,0.8766551,0.66891813,-0.46175465,-0.327628,-0.6594003,0.8206378,0.7802707,-0.29769683,-0.18905535,-0.06045847,0.6,0.4,0.45,0.43333334,0.45,0.4,0.6,0.45,0.46666667,0.46666667,0.2,-0.2,0.0,-0.033333335,-0.016666668,0.59183645,0.45833313,0.49038467,0.54800934,0.56769055,0.40816355,0.54166687,0.50961536,0.45199066,0.43230948,0.18367293,-0.08333371,-0.019230677,0.096018665,0.13538106,1.0776333,1.09743,1.4309796,1.5347526,1.863595,0.15441298,0.24095362,0.54818445,0.49212155,0.70393586,0.85769403,0.7755938,1.7414432,1.6067917,1.4369819,0.5099505,0.49503678,0.45355365,0.46950245,0.4655993,0.49004945,0.5049632,0.5464463,0.53049755,0.5344007,0.019901078,-0.009926415,-0.09289269,-0.060995094,-0.0688014,2.010073877762439
5,SH601059,0.03621448610103341,0.9130434782608695,,,,SH601059,信达证券,2026-04-17,-0.0029550763,0.008865229,-0.33333334,0.0035460917,0.4,0.002364061,0.26666668,-0.004137107,-0.46666667,1.0029638,1.0065204,0.9976289,1.0011101,0.99765813,0.9759953,1.0257611,1.0286885,1.0579625,1.0038642,0.9924473,0.9856558,1.0006831,1.0246488,0.0038968408,0.015186033,0.0162203,0.025353707,0.030560529,-0.0009367774,0.004155133,0.0012264263,-0.0016691723,-0.0014422757,0.14447327,0.68626624,0.20009363,0.3359086,0.6793205,-0.0019906324,-0.011145424,0.0026931933,0.023519916,0.0178984,1.0136116,1.0136633,1.0282534,1.0404794,1.0650561,0.9851521,0.9613206,0.9576802,0.9576802,0.9576802,1.006206,1.0029274,1.0018736,1.0299766,1.0516394,1.0014052,0.9790398,0.97119445,0.9738876,0.99004686,0.2,0.6,0.75,0.5,0.25,0.52172,0.7389644,0.59965813,0.51111364,0.3941274,0.6,0.5,0.05,0.2,0.31666666,0.2,0.2,0.1,0.4,0.7,0.4,0.3,-0.05,-0.2,-0.38333333,0.6401694,0.23701447,0.08553763,0.3028803,0.6132425,0.39597568,0.78306144,0.21794659,0.20698455,0.016194012,0.6,0.5,0.45,0.43333334,0.4,0.4,0.5,0.55,0.53333336,0.51666665,0.2,0.0,-0.1,-0.1,-0.11666667,0.53999954,0.6289311,0.44210526,0.44519013,0.4260089,0.46000046,0.3710689,0.55789477,0.55480987,0.57399106,0.0799991,0.25786218,-0.11578948,-0.109619714,-0.14798217,1.4201994,1.6294581,1.9861131,2.131906,3.2321882,0.3356751,0.6320631,0.9538987,0.88162434,1.6698353,0.37290025,1.1284155,1.6246984,1.767028,1.5285364,0.13178347,0.47555268,0.45383754,0.4591563,0.42480898,0.8682165,0.5244473,0.5461624,0.5408437,0.575191,-0.7364331,-0.04889467,-0.09232488,-0.08168741,-0.15038201,1.960167093011623
6,SH600089,0.048473338704829554,0.9565217391304348,,,,SH600089,特变电工,2026-04-17,-0.017266246,0.017985659,-0.9600007,0.0,0.0,0.00071941444,0.039999336,-0.01654683,-0.9200013,1.0175697,1.0175697,0.99926794,1.0038338,0.99158514,0.9579065,1.0300183,1.199858,0.9820696,1.0094464,0.9863865,1.0011377,1.0385709,1.052462,0.01884197,0.033995222,0.03675773,0.06959144,0.06148196,0.004648332,0.009574509,-0.0021367625,-0.006316552,-0.0011733144,0.15215339,0.7271244,0.11827233,0.6384843,0.11107933,-0.018743102,-0.029471787,0.019161459,0.05301917,-0.017849209,1.0446624,1.0446624,1.0710151,1.2174277,1.2181597,0.9674232,0.9231361,0.9231361,0.9231361,0.9231361,1.0250399,1.0093018,1.0331681,1.0799445,1.1099615,0.99707174,0.96940446,0.9767251,0.98433495,1.0079093,0.4,0.7,0.5,0.33333334,0.18333334,0.4217658,0.63248825,0.5197754,0.26118273,0.2605347,0.6,0.8,0.2,0.033333335,0.5,0.2,0.2,0.6,0.73333335,0.8666667,0.4,0.6,-0.4,-0.7,-0.36666667,0.990949,0.8193092,0.4391982,0.80179703,0.58237976,0.96536976,0.87699145,0.33699548,0.3157538,0.35375717,0.4,0.4,0.4,0.33333334,0.4,0.6,0.6,0.6,0.6666667,0.6,-0.2,-0.2,-0.2,-0.33333334,-0.2,0.54849184,0.60828334,0.45891502,0.33672443,0.50597805,0.4515082,0.39171666,0.54108495,0.6632756,0.49402192,0.09698363,0.2165667,-0.082169935,-0.32655117,0.011956152,1.1747607,1.0320295,1.0346985,1.2580951,1.9025574,0.33535394,0.3020187,0.3059098,0.5298059,1.1203749,0.69057566,0.9466399,0.91219777,0.7463972,1.3572823,0.5114449,0.51508737,0.48767847,0.35756364,0.41218758,0.4885551,0.48491266,0.51232153,0.6424363,0.5878124,0.022889795,0.030174684,-0.024643071,-0.2848727,-0.17562488,1.9466991408729197
7,SH600926,0.03886039630588181,0.9565217391304348,,,,SH600926,杭州银行,2026-04-17,-0.0035190317,0.00645165,-0.54544675,0.0023460947,0.36364257,0.0005865237,0.09091064,-0.0052786027,-0.8181787,1.0035315,1.0058858,0.9994114,1.0019298,1.009417,0.9910314,0.9887892,0.9751121,0.9192825,1.0095067,1.005,0.99159193,0.99189085,0.9671973,0.008055528,0.009056647,0.017204706,0.01770885,0.033973422,-0.0037219713,0.0015069994,0.0025037949,0.0008710729,0.0016845488,0.53370106,0.25380647,0.7412608,0.18751238,0.7498742,-0.002062785,-0.011781497,-0.015377971,-0.0045214295,-0.016891487,1.0217489,1.0217489,1.0217489,1.0257549,1.0257549,0.9994114,0.9817264,0.9447025,0.9447025,0.8839142,1.0170404,1.0123767,1.0083408,1.0095067,1.0000896,1.0017937,0.99869955,0.9805829,0.9776233,0.9421973,0.2,0.3,0.65,0.6,0.8,0.026350109,0.4565831,0.7177169,0.68224317,0.81842345,0.6,0.8,0.9,0.26666668,0.6333333,1.0,0.1,0.1,0.4,0.06666667,-0.4,0.7,0.8,-0.13333334,0.56666666,0.41029346,0.16708949,-0.16880356,0.08916159,-0.64812887,0.22299694,0.46416548,-0.09798713,0.029572776,0.08969907,0.4,0.6,0.65,0.6,0.5833333,0.4,0.3,0.3,0.36666667,0.4,0.0,0.3,0.35,0.23333333,0.18333334,0.3090897,0.59345794,0.5394322,0.55230916,0.58028543,0.69091034,0.4065421,0.46056777,0.4476908,0.41971454,-0.38182062,0.18691583,0.07886445,0.10461835,0.1605709,1.4321204,1.6758897,1.6578304,1.8242141,2.5906236,0.3530848,0.65602314,0.55010587,0.614465,1.3508635,1.3687133,1.111998,1.4645427,1.1597561,1.174008,0.38331145,0.48998722,0.44354886,0.48406476,0.4562224,0.61668855,0.51001275,0.55645114,0.51593524,0.54377764,-0.2333771,-0.020025548,-0.11290228,-0.031870488,-0.08755524,1.8891012869685282
8,SH600036,0.03475112239361565,0.8695652173913043,,,,SH600036,招商银行,2026-04-17,-0.008280998,0.010037672,-0.82499194,0.0012547778,0.12500685,0.0005018954,0.050001178,-0.009033881,-0.89999765,1.0083501,1.0096154,0.9994939,1.003557,0.99215454,1.006089,1.0063232,0.9906323,0.9884075,0.99919593,0.9967681,0.99727553,0.9986,0.98917055,0.010855628,0.008625909,0.008355675,0.009074923,0.014922439,0.004707269,0.0012726793,0.00025221056,4.9317814e-06,0.00055538764,0.47007605,0.19954446,0.031888306,2.2888824e-05,0.42248628,-0.008610451,-0.0024951836,0.0003284533,0.0013284549,-0.0055544893,1.015948,1.015948,1.015948,1.0212563,1.0212563,0.9848206,0.9848206,0.975477,0.975477,0.94409496,1.0096877,1.0039579,1.0058703,1.0065808,1.0021311,0.9893676,0.98942226,0.9917486,0.9921077,0.97849333,0.6,0.7,0.65,0.6,0.76666665,0.48765376,0.48765376,0.6059397,0.5356784,0.724521,0.8,0.9,0.95,0.26666668,0.6333333,0.2,0.6,0.1,0.4,0.13333334,0.6,0.3,0.85,-0.13333334,0.5,0.7344142,0.71649307,0.19422442,0.17872843,-0.65248275,0.764479,0.6847178,0.14376141,0.04199835,0.08139438,0.6,0.4,0.45,0.5,0.46666667,0.4,0.6,0.55,0.46666667,0.51666665,0.2,-0.2,-0.1,0.033333335,-0.05,0.6000008,0.46418738,0.47987077,0.52217305,0.5132767,0.3999992,0.5358126,0.5201292,0.47782698,0.48672327,0.20000161,-0.07162521,-0.04025846,0.04434604,0.02655344,1.1179659,1.0252638,1.0784967,1.0848067,1.519131,0.3833921,0.28643095,0.2677379,0.23523234,0.75802183,1.3127573,1.0523654,1.2111095,1.1613487,1.0944312,0.5212675,0.5181605,0.49016657,0.47929546,0.44590122,0.47873256,0.48183948,0.5098334,0.5207045,0.5540988,0.042534895,0.036321037,-0.019666843,-0.041409064,-0.108197555,1.873966659691645
9,SH601998,0.038050225662047917,1.0,,,,SH601998,中信银行,2026-04-17,-0.012062683,0.01447522,-0.8333333,0.0012062683,0.083333336,0.0012062683,0.083333336,-0.012062683,-0.8333333,1.01221,1.013431,0.998779,1.0047216,1.0023781,1.0219976,0.96195006,0.8816885,0.92806184,1.0102259,1.0098692,1.0070748,0.9773484,0.9399821,0.011493034,0.008436827,0.0156216705,0.048040595,0.052806538,0.00017835482,-0.00016574892,0.0010549554,0.0046526785,0.0022572163,0.00060206075,0.0035379732,0.15961781,0.72692734,0.55727667,-0.010582606,-0.009123309,-0.017096965,-0.044812214,-0.0065700277,1.034047,1.034047,1.0356575,1.0356575,1.0356575,0.9877899,0.9877899,0.9473011,0.8767718,0.86663586,1.0155766,1.013912,1.0151011,1.0136741,1.0097502,1.0,1.0019025,1.0,0.9219976,0.8873959,0.3,0.15,0.225,0.48333332,0.7416667,0.26396054,0.26396054,0.5964356,0.7755776,0.7890359,0.6,0.8,0.45,0.6333333,0.81666666,0.2,0.6,0.1,0.06666667,0.48333332,0.4,0.2,0.35,0.56666666,0.33333334,0.3945206,0.3860166,-0.40515837,-0.21242408,-0.2378931,0.39645627,0.44767368,0.19720088,0.2333957,0.08358274,0.4,0.4,0.5,0.6,0.48333332,0.6,0.6,0.45,0.36666667,0.48333332,-0.2,-0.2,0.05,0.23333333,0.0,0.47959206,0.37241372,0.59815955,0.70515484,0.5609265,0.520408,0.62758625,0.40184045,0.29484516,0.43907353,-0.040815905,-0.25517252,0.1963191,0.41030967,0.12185296,1.0874115,1.1925046,1.7883614,1.912175,2.0545053,0.11919675,0.30837905,0.86483055,0.83325225,0.8415929,0.5482368,0.6729889,1.4966786,1.3660939,1.1298357,0.48698592,0.46321744,0.43605784,0.48864758,0.47327983,0.5130141,0.53678256,0.56394213,0.5113524,0.52672017,-0.026028145,-0.073565125,-0.12788433,-0.022704814,-0.05344031,1.8686544357548818
