,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SZ000333,0.0452794145105634,1.0,,,,,,2026-05-22,-0.017019708,0.025835682,-0.6587675,0.004040651,0.15639809,0.004775323,0.1848344,-0.016285036,-0.63033116,1.0173144,1.021425,0.995142,1.0025828,1.0285336,1.0015017,0.99028265,0.948189,0.98467314,1.0142226,1.0122439,1.0055102,0.9921761,0.97187686,0.011611292,0.011830884,0.01213397,0.023497371,0.030172288,-0.0057288,0.0007388392,0.001284008,0.0023394858,0.0011258321,0.6085639,0.03575007,0.39192024,0.76825243,0.4246495,-0.002765022,-0.015568593,-0.017708233,-0.026098631,-0.0050888904,1.0393562,1.0393562,1.0393562,1.0393562,1.0393562,0.995142,0.9912812,0.9806824,0.9404544,0.89399016,1.0185071,1.020954,1.0151944,1.0107288,1.0012897,1.0071731,1.0009894,0.9945362,0.96933746,0.94977033,0.2,0.2,0.35,0.56666666,0.78333336,0.1098741,0.18135807,0.32923692,0.6020673,0.72926104,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.1,0.1,0.16666667,0.41666666,-0.8,0.5,0.7,0.7,0.51666665,0.71540004,0.3533913,0.624225,0.7179739,0.32543808,-0.040373527,0.39704987,0.33159846,0.41709465,0.04880589,0.4,0.6,0.5,0.53333336,0.5,0.4,0.3,0.45,0.43333334,0.48333332,0.0,0.3,0.05,0.1,0.016666668,0.1992566,0.49155515,0.5321356,0.6183175,0.51473457,0.8007434,0.50844485,0.46786436,0.3816825,0.48526543,-0.6014868,-0.016889695,0.06427125,0.23663501,0.029469159,1.0562813,1.1537925,1.0584068,0.9753854,0.91343397,0.09925419,0.15665758,0.19545788,0.21185581,0.29370162,0.99055547,0.81229585,0.80213016,0.7925938,1.8211389,0.07446363,0.5275779,0.537181,0.5479106,0.5071877,0.9255364,0.47242215,0.462819,0.45208943,0.49281228,-0.8510727,0.055155713,0.074362,0.09582114,0.014375438,2.2220159354890407
1,SH601298,0.035627892738403395,0.95,,,,SH601298,青岛港,2026-05-22,-0.018722441,0.019823773,-0.9444439,0.0,0.0,0.0011013316,0.055556104,-0.01762111,-0.8888878,1.0190797,1.0190797,0.99887764,1.0041813,0.9974895,1.0066946,1.0016737,0.95564854,1.0167364,1.0050209,1.007113,1.0080752,1.0005021,1.0038215,0.0062621795,0.007125262,0.008123602,0.014212523,0.023644444,-0.00033472947,-0.00089767575,-0.0004385442,0.00097067363,-0.00042712913,0.0071429377,0.1454952,0.101999395,0.36149794,0.099531375,-0.0043514566,-0.0030734106,-0.0039091236,-0.014576842,0.008778854,1.0268759,1.0268759,1.0319594,1.0319594,1.0681424,0.9887766,0.9887766,0.9775921,0.95808554,0.9500402,1.0107113,1.0135565,1.014728,1.0120502,1.0244352,1.0,1.0,1.001339,0.9904602,0.9847698,0.3,0.25,0.175,0.41666666,0.425,0.29458275,0.29458275,0.41215745,0.5673787,0.4230215,0.8,0.9,0.2,0.46666667,0.1,0.2,0.6,0.35,0.13333334,0.33333334,0.6,0.3,-0.15,0.33333334,-0.23333333,0.56206036,0.11280093,-0.22814329,-0.00756413,0.2659888,0.7031825,0.45777196,0.026744805,-0.0022807587,-0.097269766,0.6,0.5,0.55,0.6,0.53333336,0.4,0.5,0.45,0.4,0.43333334,0.2,0.0,0.1,0.2,0.1,0.52727324,0.46078452,0.4955752,0.57507086,0.486631,0.47272676,0.5392155,0.5044248,0.4249291,0.513369,0.05454645,-0.07843096,-0.008849601,0.15014178,-0.02673799,0.93524563,0.93114,0.97443783,0.9472041,1.117173,0.19088835,0.14877611,0.23563792,0.23533818,0.37988406,0.46903327,0.67166996,0.7830763,1.014733,1.0741715,0.47119305,0.5684751,0.5362697,0.46917528,0.4837855,0.5288069,0.4315249,0.46373028,0.5308247,0.5162145,-0.057613898,0.13695022,0.07253948,-0.06164945,-0.032429006,2.22115034583713
2,SH601059,0.036136202957064024,0.9,,,,SH601059,信达证券,2026-05-22,-0.0058038277,0.010446939,-0.55555296,0.002901995,0.27778426,0.0017411159,0.16666278,-0.0069647073,-0.66667444,1.0058377,1.0087566,0.9982487,1.0015575,0.96945244,0.98674357,0.9804035,0.94927955,1.037464,0.9975793,0.9931989,0.9873776,0.9857637,0.99125844,0.0143653555,0.013660477,0.012973061,0.011651089,0.023896888,0.0056484025,0.0011946539,0.0012862129,0.0006353526,-0.0006000385,0.38650808,0.070107415,0.34403998,0.23046145,0.19229825,-0.008876096,0.0014251705,0.00040341652,0.0050236625,0.026442694,1.0221381,1.0221381,1.0221381,1.0221381,1.0432799,0.96590716,0.9612813,0.9612813,0.9571313,0.94277686,1.0048416,1.002075,1.0002306,0.99561965,1.0139481,0.9945821,0.9807493,0.97659945,0.9769453,0.96772337,0.4,0.6,0.8,0.8666667,0.6166667,0.6063003,0.636226,0.636226,0.6594492,0.56936765,0.8,0.9,0.95,0.96666664,0.033333335,0.2,0.5,0.75,0.033333335,0.33333334,0.6,0.4,0.2,0.93333334,-0.3,0.8093246,0.70913863,0.7596589,0.62605083,0.47925118,0.75636613,0.6342844,0.58584565,0.6299884,0.2526294,0.6,0.5,0.5,0.5,0.43333334,0.4,0.5,0.45,0.46666667,0.53333336,0.2,0.0,0.05,0.033333335,-0.1,0.7977519,0.5672511,0.56204367,0.6047618,0.45982695,0.2022481,0.43274894,0.43795633,0.39523825,0.54017305,0.5955038,0.13450213,0.12408735,0.20952351,-0.0803461,1.2128961,0.9674872,0.75803554,0.6756139,0.7360408,0.53513074,0.4563278,0.3920761,0.35405383,0.36442184,1.3678788,1.3711803,1.5731572,1.519778,1.629833,0.5491336,0.56432444,0.5413612,0.5391063,0.5046455,0.4508664,0.43567556,0.4586388,0.46089366,0.49535447,0.098267205,0.12864888,0.08272245,0.07821266,0.009291057,1.98797937544289
3,SZ000301,0.03900692052270106,0.85,,,,,,2026-05-22,-0.0048192223,0.023293227,-0.20689373,0.013654675,0.586208,0.0048193284,0.20689829,-0.013654569,-0.58620346,1.0048425,1.0185634,0.99515736,1.0047951,1.0505427,1.0369742,1.022388,0.92876524,1.0135685,1.013772,1.0297829,1.0363636,1.0054613,0.97856736,0.0097714495,0.018702783,0.022810021,0.05348178,0.08108014,-0.003493884,-0.0050121276,-0.0011155778,0.0042186934,0.0007529512,0.3196237,0.65832937,0.08371752,0.48222083,0.026302952,-0.006784256,-0.0072283093,-0.025765628,-0.06663236,-0.0007794263,1.0442338,1.0870216,1.0878426,1.0878426,1.1864142,0.99515736,0.99515736,0.98538023,0.88928086,0.8126853,1.0199457,1.0462008,1.0539348,1.0462008,1.0505427,1.0084125,1.0129579,1.0129579,0.9308684,0.9002714,0.2,0.1,0.05,0.33333334,0.51666665,0.09867605,0.052715432,0.14268403,0.5576056,0.5012047,0.2,0.4,0.35,0.56666666,0.11666667,1.0,1.0,0.15,0.16666667,0.35,-0.8,-0.6,0.2,0.4,-0.23333333,-0.6471526,0.13618697,0.5212463,0.39228708,0.44975632,-0.4166346,-0.088392,0.15889445,0.44370478,0.31749475,0.4,0.5,0.6,0.6333333,0.56666666,0.6,0.5,0.4,0.36666667,0.43333334,-0.2,0.0,0.2,0.26666668,0.13333334,0.16888918,0.34110808,0.46126765,0.5725139,0.49467236,0.83111084,0.6588919,0.53873235,0.42748612,0.50532764,-0.6622216,-0.31778383,-0.07746469,0.14502774,-0.010655259,0.91712034,0.96801203,1.1001407,1.074477,1.2771878,0.2613029,0.25448155,0.31664196,0.34527108,0.59345657,1.0407543,1.0652723,0.9702415,1.123685,1.5678751,0.41561,0.5211274,0.49260306,0.5003143,0.5020381,0.58439004,0.47887257,0.50739694,0.4996857,0.49796188,-0.16878004,0.04225485,-0.014793861,0.00062860985,0.0040762303,1.659777866975587
