,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SZ300394,0.2469527637892706,0.6666666666666666,-0.02784264,0.27479540466604063,0.27479540466604063,SZ300394,天孚通信,2026-03-09,35.265503,35.67569
1,SH688256,0.1754899662947276,1.0,-0.041931808,0.21742177428957013,0.21742177428957013,SH688256,寒武纪,2026-03-09,0.025426831,0.02569061
2,SH688082,0.1705145653895739,1.0,-0.003335178,0.1738497432879809,0.1738497432879809,SH688082,盛美上海,2026-03-09,0.0097725475,0.009836769
3,SH601877,0.1665240582584427,0.6666666666666666,0.02638781,0.1401362475513504,0.1401362475513504,SH601877,正泰电器,2026-03-09,0.19365557,0.20344083
4,SH688396,0.1524164772696463,1.0,0.002306819,0.15010965830754913,0.15010965830754913,SH688396,华润微,2026-03-09,0.029854536,0.030509576
5,SH600522,0.1327557450534653,0.6666666666666666,0.038388968,0.09436677753942721,0.09436677753942721,SH600522,中天科技,2026-03-09,15.967132,17.49137
6,SH601888,0.1309150776850779,1.0,-0.0141867995,0.1451018772112925,0.1451018772112925,SH601888,中国中免,2026-03-09,1.3892663,1.3938843
7,SH600015,0.1223114271798515,1.0,0.005834341,0.11647708613065716,0.11647708613065716,SH600015,华夏银行,2026-03-09,5.1901927,5.235756
8,SZ300316,0.1111673972565266,0.6666666666666666,-0.01073426,0.12190165733877148,0.12190165733877148,SZ300316,晶盛机电,2026-03-09,3.711872,3.8322256
9,SH600115,0.1092930104884565,0.6666666666666666,-0.020771503,0.13006451393694282,0.13006451393694282,SH600115,中国东航,2026-03-09,0.58713466,0.5953538
10,SH688111,0.1050678183480715,0.6666666666666666,-0.0070520043,0.11211982268538229,0.11211982268538229,SH688111,金山办公,2026-03-09,0.018392531,0.01855258
11,SH600406,0.1004197087391919,0.6666666666666666,-0.0032415986,0.10366130734530152,0.10366130734530152,SH600406,国电南瑞,2026-03-09,342.86456,348.99072
12,SH600029,0.10040493848056,0.6666666666666666,-0.017241359,0.11764629723757904,0.11764629723757904,SH600029,南方航空,2026-03-09,1.2467961,1.2577446
13,SH601077,0.0988571195330421,1.0,0.019853711,0.07900340840480724,0.07900340840480724,SH601077,渝农商行,2026-03-09,0.15921162,0.16311401
14,SH603993,0.0975155954304257,0.6666666666666666,-0.011986494,0.10950208949475676,0.10950208949475676,SH603993,洛阳钼业,2026-03-09,3.1815922,3.2136128
15,SH600176,0.0969631507830579,0.6666666666666666,-0.013403773,0.11036692409085819,0.11036692409085819,SH600176,中国巨石,2026-03-09,248.67523,255.5258
16,SH601601,0.0966072533086407,0.6666666666666666,0.00790143,0.08870582317863582,0.08870582317863582,SH601601,中国太保,2026-03-09,0.04407643,0.0447617
17,SZ300408,0.0953637580417122,0.6666666666666666,-0.024026036,0.1193897943042244,0.1193897943042244,SZ300408,三环集团,2026-03-09,0.6533286,0.6584932
18,SH601006,0.0948039096016469,1.0,0.024584293,0.07021961623616839,0.07021961623616839,SH601006,大秦铁路,2026-03-09,1.2002301,1.22941
19,SH600489,0.0897771605322516,1.0,0.00691998,0.0828571804831183,0.0828571804831183,SH600489,中金黄金,2026-03-09,72.44716,73.70036
20,SH601336,0.0894798566596091,0.6666666666666666,-0.0006249547,0.09010481136007907,0.09010481136007907,SH601336,新华保险,2026-03-09,0.1823912,0.1836779
21,SH603195,0.089273861087032,1.0,-0.0027418733,0.09201573435134475,0.09201573435134475,SH603195,公牛集团,2026-03-09,0.069699734,0.06998633
22,SH601816,0.088169072200291,1.0,0.005504608,0.08266446404599412,0.08266446404599412,SH601816,京沪高铁,2026-03-09,0.12832884,0.12923321
23,SH600036,0.0867994215957262,1.0,0.007118702,0.07968071966091175,0.07968071966091175,SH600036,招商银行,2026-03-09,14.505547,14.60851
24,SZ000630,0.0863115371228387,1.0,-0.013673425,0.09998496184360287,0.09998496184360287,SZ000630,铜陵有色,2026-03-09,27.291515,27.551817
25,SZ002938,0.0797508364415149,0.6666666666666666,0.011756897,0.06799393946885865,0.06799393946885865,SZ002938,鹏鼎控股,2026-03-09,0.12973109,0.13297907
26,SH688008,0.0796686442558227,0.6666666666666666,-0.020804286,0.10047293025893549,0.10047293025893549,SH688008,澜起科技,2026-03-09,0.028947618,0.029198261
27,SH600926,0.0795739022588541,1.0,0.015990734,0.06358316815851231,0.06358316815851231,SH600926,杭州银行,2026-03-09,0.26380336,0.2682286
28,SH600183,0.0786294588464547,0.6666666666666666,-0.014130294,0.09275975316942223,0.09275975316942223,SH600183,生益科技,2026-03-09,62.097923,63.457047
29,SH601111,0.0748455561455737,0.6666666666666666,-0.0035461187,0.07839167488184079,0.07839167488184079,SH601111,中国国航,2026-03-09,1.2353221,1.2483095
30,SH601018,0.0742983188028626,1.0,-0.004983425,0.07928174394324346,0.07928174394324346,SH601018,宁波港,2026-03-09,0.66128415,0.6654533
31,SH601628,0.0734824539790996,0.6666666666666666,-0.0015673637,0.07504981771811327,0.07504981771811327,SH601628,中国人寿,2026-03-09,0.050972175,0.051349882
32,SH601398,0.0734175159532227,1.0,0.0113765,0.06204101582352299,0.06204101582352299,SH601398,工商银行,2026-03-09,4.080538,4.1270127
33,SH603799,0.0726161392026897,0.6666666666666666,-0.0045761466,0.07719228580532031,0.07719228580532031,SH603799,华友钴业,2026-03-09,9.478092,9.563361
34,SH600362,0.0710982345616965,0.6666666666666666,-0.006786406,0.07788464060188816,0.07788464060188816,SH600362,江西铜业,2026-03-09,8.231617,8.344388
35,SH601328,0.0704100475999037,1.0,0.008743167,0.06166688067638075,0.06166688067638075,SH601328,交通银行,2026-03-09,0.27182633,0.27455994
36,SH600016,0.0701629747952894,1.0,0.0076076984,0.06255527635473765,0.06255527635473765,SH600016,民生银行,2026-03-09,15.403675,15.559857
37,SH601988,0.0678489020093448,1.0,0.0058096647,0.06203923728308748,0.06203923728308748,SH601988,中国银行,2026-03-09,2.4766364,2.491474
38,SH601166,0.0647635877252863,1.0,0.01300633,0.05175725818884831,0.05175725818884831,SH601166,兴业银行,2026-03-09,1.2751385,1.2917391
