,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SZ000333,0.0452794145105634,1.0,-0.005852461,0.051131875371769456,0.051131875371769456,,,2026-05-22,1.4313889,1.4288987
1,1,SH601298,0.0356278927384033,0.95,-0.0033472776,0.038975170379699685,0.038975170379699685,SH601298,青岛港,2026-05-22,0.3635147,0.37005708
2,2,SH601059,0.036136202957064,0.9,0.0074927807,0.028643422271639192,0.028643422271639192,SH601059,信达证券,2026-05-22,0.12451129,0.12557758
3,3,SZ000301,0.039006920522701,0.85,0.0,0.039006920522701,0.039006920522701,,,2026-05-22,0.40317544,0.41293755
