,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH601328,0.1107723166891439,1.0,0.0032223463,0.10754997038329674,0.10754997038329674,SH601328,交通银行,2026-03-12,0.27648604,0.2798839
1,SH601816,0.1106292429206196,1.0,0.014545441,0.09608380224679147,0.09608380224679147,SH601816,京沪高铁,2026-03-12,0.12941298,0.13165572
2,SH600919,0.1003372884764513,1.0,0.016129017,0.0842082716002306,0.0842082716002306,SH600919,江苏银行,2026-03-12,0.36880383,0.3769282
3,SH600690,0.0963531812384937,1.0,-0.005980909,0.10233409010919071,0.10233409010919071,SH600690,海尔智家,2026-03-12,23.572186,23.619179
4,SH601658,0.0857563386190252,1.0,0.0057803392,0.07997599937799736,0.07997599937799736,SH601658,邮储银行,2026-03-12,0.29951787,0.30239064
5,SH601009,0.0857249073653464,1.0,0.013361931,0.07236297651817843,0.07236297651817843,SH601009,南京银行,2026-03-12,1.5691814,1.6040965
6,SH600016,0.085247582855989,1.0,-0.007569015,0.09281659788208153,0.09281659788208153,SH600016,民生银行,2026-03-12,15.483153,15.522465
7,SH600900,0.0851760903452331,1.0,-0.0022123456,0.08738843594536128,0.08738843594536128,SH600900,长江电力,2026-03-12,10.320201,10.349808
8,SH601398,0.0818802514832089,1.0,0.007234335,0.0746459165375302,0.0746459165375302,SH601398,工商银行,2026-03-12,4.1688476,4.2291813
9,SH600036,0.0799737582972354,1.0,0.0037631989,0.07621055944469633,0.07621055944469633,SH600036,招商银行,2026-03-12,14.705177,14.808456
10,SZ000895,0.0786077173462995,1.0,0.02041936,0.058188358139146176,0.058188358139146176,,,2026-03-12,64.69792,66.22821
11,SZ002252,0.0782723817087059,1.0,-0.0032310486,0.08150343029269028,0.08150343029269028,,,2026-03-12,8.979504,8.993542
12,SH601229,0.078111958202972,1.0,0.005121231,0.07299072712387043,0.07299072712387043,SH601229,上海银行,2026-03-12,0.2129561,0.21621637
13,SH601668,0.0777415153994803,1.0,-0.011447191,0.08918870663788361,0.08918870663788361,SH601668,中国建筑,2026-03-12,0.68111324,0.68536264
14,SH601166,0.0723783397965502,1.0,0.0,0.0723783397965502,0.0723783397965502,SH601166,兴业银行,2026-03-12,1.3000394,1.3097051
15,SH600015,0.0719481115064848,1.0,-0.0013531446,0.07330125615217571,0.07330125615217571,SH600015,华夏银行,2026-03-12,5.371137,5.4391255
16,SH601169,0.0716944326196503,1.0,0.0,0.0716944326196503,0.0716944326196503,SH601169,北京银行,2026-03-12,0.25910518,0.26052105
17,SH600018,0.0694369222599734,1.0,0.0034247637,0.06601215858046901,0.06601215858046901,SH600018,上港集团,2026-03-12,1.0313357,1.0403856
18,SH601998,0.0672397543122932,1.0,0.007133603,0.0601061512162849,0.0601061512162849,SH601998,中信银行,2026-03-12,0.24491078,0.24808012
19,SH601818,0.0661951282226092,1.0,-0.005797088,0.07199221636881892,0.07199221636881892,SH601818,光大银行,2026-03-12,1.067313,1.0709682
20,SZ000999,0.0660619724826536,1.0,0.006871581,0.05919039140507791,0.05919039140507791,,,2026-03-12,0.6804505,0.6902695
21,SH600887,0.0630562015758849,1.0,0.004869938,0.058186263679156386,0.058186263679156386,SH600887,伊利股份,2026-03-12,76.470184,77.15774
22,SH601939,0.0627104927282415,0.6666666666666666,0.003066063,0.05964442980099541,0.05964442980099541,SH601939,建设银行,2026-03-12,0.7810431,0.7849784
23,SH600660,0.0618850979484632,1.0,-0.009411573,0.07129667135849738,0.07129667135849738,SH600660,福耀玻璃,2026-03-12,211.91617,211.91557
24,SZ000001,0.0616598660053923,1.0,-0.0009109378,0.0625708037914946,0.0625708037914946,,,2026-03-12,1.2610918,1.265717
25,SH600050,0.0610783757327127,1.0,-0.008556128,0.06963450328093047,0.06963450328093047,SH600050,中国联通,2026-03-12,2.0933964,2.0988312
26,SZ002352,0.0604675767637712,1.0,-0.009411573,0.06987915017380539,0.06987915017380539,,,2026-03-12,0.52009386,0.52069
27,SZ000333,0.0584891848940218,1.0,-0.0028603673,0.06134955219214802,0.06134955219214802,,,2026-03-12,1.3704085,1.3707705
28,SH600600,0.0579028781648099,1.0,0.0064407587,0.05146211945967074,0.05146211945967074,SH600600,青岛啤酒,2026-03-12,2.7470257,2.7819772
29,SH600674,0.0568892959368968,0.6666666666666666,-0.010184109,0.06707340514786482,0.06707340514786482,SH600674,川投能源,2026-03-12,70.19738,71.08962
