,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH601877,0.0684323898885895,1.0,-0.00036132336,0.06879371324521792,0.06879371324521792,SH601877,正泰电器,2026-06-17,0.13631248,0.13727224
1,1,SH601916,0.0594867072833797,0.875,-0.016627073,0.07611378057134358,0.07611378057134358,SH601916,浙商银行,2026-06-17,0.23603576,0.23672567
2,2,SH601698,0.0546008602992159,1.0,-0.011720002,0.06632086199675619,0.06632086199675619,SH601698,中国卫通,2026-06-17,2.0748565,2.097917
