,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH601916,0.0622073432490436,0.875,,,,SH601916,浙商银行,2026-03-26,0.24000278,
1,1,SZ001965,0.0565627837616361,0.875,,,,,,2026-03-26,0.13590729,
2,2,SH600674,0.0562092512533049,0.875,,,,SH600674,川投能源,2026-03-26,68.81269,
3,3,SZ003816,0.0559112891363509,0.8125,,,,,,2026-03-26,0.49199176,
4,4,SH600023,0.0548567931597342,0.8125,,,,SH600023,浙能电力,2026-03-26,0.28964776,
5,5,SH600919,0.0547370150162764,0.9375,,,,SH600919,江苏银行,2026-03-26,0.37084776,
6,6,SH601166,0.0541030293048192,1.0,,,,SH601166,兴业银行,2026-03-26,1.291008,
7,7,SH601818,0.0528516566440291,1.0,,,,SH601818,光大银行,2026-03-26,1.0494202,
8,8,SH600015,0.0517073921285672,0.9375,,,,SH600015,华夏银行,2026-03-26,5.3570685,
9,9,SH600900,0.0504140532825551,1.0,,,,SH600900,长江电力,2026-03-26,10.257118,
10,10,SH601328,0.0492656613589179,0.875,,,,SH601328,交通银行,2026-03-26,0.27765095,
11,11,SZ000983,0.0489385157991296,0.5625,,,,,,2026-03-26,8.177377,
12,12,SH601169,0.0465880789438911,0.9375,,,,SH601169,北京银行,2026-03-26,0.2566756,
13,13,SH601988,0.0455031268274299,0.9375,,,,SH601988,中国银行,2026-03-26,2.5881412,
14,14,SH601939,0.0445227335166648,0.8125,,,,SH601939,建设银行,2026-03-26,0.803839,
15,15,SH601006,0.0427048466402092,0.8125,,,,SH601006,大秦铁路,2026-03-26,1.2183205,
16,16,SH601838,0.042149880778631,0.8125,,,,SH601838,成都银行,2026-03-26,0.33816546,
17,17,SH600018,0.0421439843908116,1.0,,,,SH600018,上港集团,2026-03-26,1.0057807,
18,18,SZ000001,0.0420334183987599,0.875,,,,,,2026-03-26,1.2714723,
19,19,SH600886,0.0408965614615398,0.75,,,,SH600886,国投电力,2026-03-26,28.84821,
20,20,SH601658,0.0397635655902526,0.8125,,,,SH601658,邮储银行,2026-03-26,0.29810014,
21,21,SH600036,0.0376299359128505,0.875,,,,SH600036,招商银行,2026-03-26,14.586201,
22,22,SH601398,0.0361725942373843,0.8125,,,,SH601398,工商银行,2026-03-26,4.2850356,
23,23,SZ000895,0.0359393433492019,0.8125,,,,,,2026-03-26,64.72137,
24,24,SH601825,0.035549333197226,0.875,,,,SH601825,沪农商行,2026-03-26,0.136649,
25,25,SH600600,0.0338545597209769,0.8125,,,,SH600600,青岛啤酒,2026-03-26,2.7057643,
26,26,SH601229,0.0312372211996377,1.0,,,,SH601229,上海银行,2026-03-26,0.21123815,
27,27,SH601077,0.0306679238431379,0.75,,,,SH601077,渝农商行,2026-03-26,0.16934574,
28,28,SH601009,0.0294460926190943,0.75,,,,SH601009,南京银行,2026-03-26,1.5719129,
29,29,SH601816,0.0286224818872087,0.75,,,,SH601816,京沪高铁,2026-03-26,0.12832884,
30,30,SZ002074,0.0286029791312,0.625,,,,,,2026-03-26,3.5818176,
31,31,SH600104,0.027210677319637,0.8125,,,,SH600104,上汽集团,2026-03-26,8.909687,
32,32,SH600377,0.0257670028192926,0.8125,,,,SH600377,宁沪高速,2026-03-26,2.90479,
33,33,SZ300014,0.0247450234943489,0.6875,,,,,,2026-03-26,13.055939,
34,34,SH600027,0.0224523634826933,0.75,,,,SH600027,华电国际,2026-03-26,1.317364,
35,35,SH601766,0.0203540481044956,0.75,,,,SH601766,中国中车,2026-03-26,1.135463,
36,36,SH600926,0.0199360862068798,0.8125,,,,SH600926,杭州银行,2026-03-26,0.26587456,
37,37,SH688009,0.0191794009750158,0.5625,,,,SH688009,中国通号,2026-03-26,0.054908838,
38,38,SZ300498,0.0189020608767524,0.6875,,,,,,2026-03-26,0.02589472,
39,39,SH600918,0.0186280893809446,0.5625,,,,SH600918,中泰证券,2026-03-26,0.164687,
40,40,SZ000651,0.0179209739747831,0.8125,,,,,,2026-03-26,471.11453,
41,41,SH600016,0.0176722871113717,0.6875,,,,SH600016,民生银行,2026-03-26,14.975068,
42,42,SZ002142,0.0172164699386294,0.75,,,,,,2026-03-26,0.37379166,
43,43,SH601998,0.016153240710892,0.8125,,,,SH601998,中信银行,2026-03-26,0.27154377,
44,44,SH600011,0.0152583724106094,0.4375,,,,SH600011,华能国际,2026-03-26,1.1264669,
45,45,SH601633,0.0144679446921244,0.625,,,,SH601633,长城汽车,2026-03-26,2.343915,
46,46,SZ002714,0.0142423073636572,0.3125,,,,,,2026-03-26,14.834185,
47,47,SH600887,0.01395367214889,0.625,,,,SH600887,伊利股份,2026-03-26,74.89559,
48,48,SH601236,0.0131384483465789,0.5625,,,,SH601236,红塔证券,2026-03-26,0.4509733,
49,49,SZ002422,0.0116463004131984,0.5625,,,,,,2026-03-26,0.22716512,
50,50,SH601012,0.0115254262488228,0.625,,,,SH601012,隆基绿能,2026-03-26,18.47547,
51,51,SZ000708,0.0111977976736443,0.4375,,,,,,2026-03-26,5.934725,
52,52,SH601607,0.0089543401537064,0.5,,,,SH601607,上海医药,2026-03-26,1.0822058,
53,53,SH601985,0.0086518156152454,0.6875,,,,SH601985,中国核电,2026-03-26,0.5812215,
54,54,SH601919,0.0078819629131653,0.6875,,,,SH601919,中远海控,2026-03-26,0.323921,
55,55,SZ002415,0.0072794748575979,0.625,,,,,,2026-03-26,2.5648608,
56,56,SH600066,0.0072248278265841,0.5625,,,,SH600066,宇通客车,2026-03-26,236.0419,
57,57,SH601668,0.0054497287771741,0.5625,,,,SH601668,中国建筑,2026-03-26,0.6522897,
58,58,SZ001391,0.0037155884085183,0.3125,,,,,,2026-03-26,0.06267164,
59,59,SZ002709,0.0027187820674294,0.4375,,,,,,2026-03-26,24.7495,
60,60,SZ002352,0.0020205817733125,0.5625,,,,,,2026-03-26,0.5065733,
61,61,SH603019,0.00124308111695,0.3125,,,,SH603019,中科曙光,2026-03-26,23.371141,
62,62,SZ000333,0.00101613455247,0.5,,,,,,2026-03-26,1.3333331,
63,63,SH600196,0.0001368282433443,0.375,,,,SH600196,复星医药,2026-03-26,7.402364,
