,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH600900,0.0733436543341027,0.9583333333333334,-0.0036301613,0.07697381561950309,0.07697381561950309,SH600900,长江电力,2026-06-05,10.391639,10.391468
1,1,SH600919,0.0747578518996209,0.875,0.0052520037,0.06950584822988214,0.06950584822988214,SH600919,江苏银行,2026-06-05,0.3906755,0.3968388
2,2,SZ000333,0.0734029743655692,0.9166666666666666,0.01419425,0.05920872425875767,0.05920872425875767,,,2026-06-05,1.4565116,1.4932238
3,3,SH601988,0.0679977323782659,0.9583333333333334,0.01535511,0.052642622209808865,0.052642622209808865,SH601988,中国银行,2026-06-05,2.8111508,2.8696163
4,4,SZ002179,0.062521708806262,0.9166666666666666,-0.06484026,0.12736196597407817,0.12736196597407817,,,2026-06-05,4.219869,4.171919
