,instrument,avg_score,pos_ratio,real_label,error,abs_error,datetime,n1close,n2high
0,SH600176,0.1065758317534945,1.0,0.033074856,0.07350097594905114,0.07350097594905114,2026-03-06,240.71417,252.28592
1,SH688396,0.1048939750906533,0.75,0.036255002,0.06863897306886375,0.06863897306886375,2026-03-06,0.028811825,0.03005217
2,SZ300442,0.1005134814726382,0.5,-0.008755863,0.1092693441854983,0.1092693441854983,2026-03-06,0.47217488,0.48953483
3,SZ300394,0.0994435142226221,1.0,0.1092006,-0.009757082586765109,0.009757082586765109,2026-03-06,31.793598,35.410507
4,SH600016,0.0853973418265965,1.0,0.015450478,0.06994686422649884,0.06994686422649884,2026-03-06,15.169502,15.442771
5,SH600489,0.0846868404777167,1.0,0.013063788,0.07162305206371523,0.07162305206371523,2026-03-06,71.51248,73.31261
6,SH688256,0.0816727592040102,1.0,0.018747926,0.06292483344564838,0.06292483344564838,2026-03-06,0.024958903,0.025712777
7,SH601169,0.0781921644865172,1.0,0.0018860102,0.07630615431653429,0.07630615431653429,2026-03-06,0.25395167,0.25490963
8,SZ002028,0.0725150230759122,1.0,-0.0051965714,0.07771159442600986,0.07771159442600986,2026-03-06,151.99997,153.61867
9,SZ300316,0.067453060211811,0.5,0.03836763,0.0290854311606025,0.0290854311606025,2026-03-06,3.5747585,3.7402306
10,SZ002493,0.0661468817694721,0.75,-0.00870496,0.07485184211569403,0.07485184211569403,2026-03-06,0.84364116,0.85276026
11,SH600029,0.0605148069313676,0.5,0.024163485,0.03635132235800334,0.03635132235800334,2026-03-06,1.2168696,1.2891911
12,SH600377,0.0594458601258148,1.0,0.0015926361,0.05785322401741636,0.05785322401741636,2026-03-06,2.9019082,2.9087512
13,SH601229,0.0585985516927298,1.0,-0.002219081,0.060817632617717596,0.060817632617717596,2026-03-06,0.20694329,0.20753507
14,SH603986,0.0583765219108076,0.75,0.03386712,0.024509401168009745,0.024509401168009745,2026-03-06,7.8522677,8.148359
15,SZ300408,0.0577009696142462,0.75,0.044407487,0.013293482698657821,0.013293482698657821,2026-03-06,0.625546,0.66266036
16,SZ000157,0.055788012730525,1.0,0.044921637,0.010866376149104101,0.010866376149104101,2026-03-06,138.80437,146.67296
17,SZ300274,0.0548425458946621,1.0,0.001927495,0.05291505089191552,0.05291505089191552,2026-03-06,12.471617,12.703008
18,SZ000338,0.0536139873604029,0.75,0.04349637,0.010117617044851139,0.010117617044851139,2026-03-06,3.476658,3.6969433
19,SH600547,0.0535225131535598,0.75,0.010446429,0.043076083900935286,0.043076083900935286,2026-03-06,205.97714,210.50005
20,SH688082,0.0529882443521835,0.5,0.025850534,0.027137709913096587,0.027137709913096587,2026-03-06,0.009525967,0.009836333
21,SH601009,0.0523575269952045,1.0,-0.003688693,0.05604622004177432,0.05604622004177432,2026-03-06,1.5551289,1.556287
22,SH600015,0.0505458467478504,1.0,0.013002396,0.037543451117967586,0.037543451117967586,2026-03-06,5.124458,5.205193
23,SH601899,0.0500100876766492,0.75,0.020068169,0.029941919036512478,0.029941919036512478,2026-03-06,0.89001936,0.9179174
24,SH688187,0.0494809683787916,0.75,0.0064840317,0.04299693670154551,0.04299693670154551,2026-03-06,0.020021727,0.020305764
25,SZ002142,0.0487893632032781,1.0,0.004387617,0.04440174609207204,0.04440174609207204,2026-03-06,0.39023152,0.3936557
26,SZ000630,0.0485747029879608,1.0,0.005517721,0.04305698181181334,0.04305698181181334,2026-03-06,27.14113,27.701632
27,SH601077,0.046331855606439,0.75,-0.009316802,0.05564865763128031,0.05564865763128031,2026-03-06,0.16075443,0.1606634
28,SH601328,0.0460140271102671,0.75,-0.0043525696,0.050366596690345225,0.050366596690345225,2026-03-06,0.27299124,0.27303803
29,SH601939,0.045584131113174,0.75,-0.013274372,0.05885850273716692,0.05885850273716692,2026-03-06,0.77298826,0.7712361
30,SH601166,0.0449120807702085,0.75,0.009282708,0.035629372602178716,0.035629372602178716,2026-03-06,1.2634194,1.2785906
31,SZ000975,0.0445965889469909,0.5,0.030386806,0.014209783412628109,0.014209783412628109,2026-03-06,17.984356,18.72436
32,SH601111,0.0443965115694978,0.5,0.010752678,0.033643833652017334,0.033643833652017334,2026-03-06,1.2224116,1.2754408
33,SZ000408,0.0437511188840603,0.75,0.022049427,0.0217016918515896,0.0217016918515896,2026-03-06,10.622818,10.898892
34,SH601825,0.0432791341848041,1.0,0.007168412,0.03611072197624697,0.03611072197624697,2026-03-06,0.12919591,0.13043444
35,SH600941,0.0429926591309725,1.0,0.0019950867,0.040997572461050624,0.040997572461050624,2026-03-06,0.041664705,0.041756567
36,SZ300308,0.0422493501810198,0.75,0.039945364,0.0023039861826067154,0.0023039861826067154,2026-03-06,48.161877,50.267094
37,SH600115,0.0421151417855307,0.5,0.0059701204,0.03614502135553802,0.03614502135553802,2026-03-06,0.58379006,0.6149209
38,SH600346,0.0419571309715943,0.75,-0.026662111,0.06861924225394293,0.06861924225394293,2026-03-06,8.325327,8.452659
39,SH601236,0.0418294834754789,1.0,0.0053191185,0.03651036497572304,0.03651036497572304,2026-03-06,0.4521378,0.45637485
