,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SZ002384,0.2055575872538345,0.875,0.061656237,0.14390135060527492,0.14390135060527492,SZ002384,东山精密,2026-06-03,2.6609266,2.9069636
1,1,SH688256,0.1901251231834654,0.7916666666666666,-0.013931811,0.20405693403933087,0.20405693403933087,SH688256,寒武纪,2026-06-03,0.06792699,0.06900652
2,2,SZ300782,0.1493472020790879,0.9166666666666666,0.0028736591,0.14647354294517675,0.14647354294517675,SZ300782,卓胜微,2026-06-03,1.1196015,1.1574131
3,3,SZ002459,0.1449687966373823,1.0,-0.0072125793,0.152181375887718,0.152181375887718,SZ002459,晶澳科技,2026-06-03,0.048041184,0.04828872
4,4,SH688008,0.1318534183397655,0.5416666666666666,0.022738576,0.10911484240440172,0.10911484240440172,SH688008,澜起科技,2026-06-03,0.04804516,0.050146878
5,5,SZ000725,0.1275637757813418,0.8333333333333334,0.10019767,0.02736610293740868,0.02736610293740868,SZ000725,京东方Ａ,2026-06-03,0.31760937,0.34943908
6,6,SH688223,0.1267107568779899,1.0,0.00525403,0.12145672665032878,0.12145672665032878,SH688223,晶科能源,2026-06-03,0.053067453,0.05400938
7,7,SH688126,0.1153882411340995,0.75,0.14122283,-0.02583459345299767,0.02583459345299767,SH688126,沪硅产业,2026-06-03,0.21356465,0.25344107
8,8,SH601012,0.1144381737463864,1.0,-0.0059683323,0.12040650603703582,0.12040650603703582,SH601012,隆基绿能,2026-06-03,13.388121,13.48769
9,9,SH688041,0.1061516857725801,1.0,-0.00052273273,0.10667441850726028,0.10667441850726028,SH688041,海光信息,2026-06-03,0.07971835,0.080725096
10,10,SH600547,0.0947848271525659,0.75,-0.023140848,0.11792567483551879,0.11792567483551879,SH600547,山东黄金,2026-06-03,128.99475,128.8621
11,11,SZ300316,0.0939765625470501,0.8333333333333334,0.012374282,0.08160228066381035,0.08160228066381035,SZ300316,晶盛机电,2026-06-03,3.7300997,3.8108556
12,12,SZ301269,0.0929386618012625,0.8333333333333334,-0.020770729,0.11370939038936675,0.11370939038936675,SZ301269,华大九天,2026-06-03,0.019017436,0.019294854
13,13,SH688506,0.0901284753175114,0.75,0.0036298037,0.08649867165997967,0.08649867165997967,SH688506,百利天恒,2026-06-03,0.20651233,0.21659799
14,14,SH688047,0.0861084638761619,0.9166666666666666,-0.004755795,0.09086425887814555,0.09086425887814555,SH688047,龙芯中科,2026-06-03,0.017757688,0.017934157
15,15,SH688472,0.083118353291736,0.625,-0.0105519295,0.09367028276561296,0.09367028276561296,SH688472,阿特斯,2026-06-03,0.07402423,0.07424379
16,16,SZ000975,0.0814521451688876,1.0,-0.026743352,0.10819549758206509,0.10819549758206509,SZ000975,山金国际,2026-06-03,13.445503,13.562995
17,17,SZ000338,0.0790688986946917,0.9166666666666666,0.045556664,0.033512234227833795,0.033512234227833795,SZ000338,潍柴动力,2026-06-03,4.208127,4.431147
