,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
77,SH601607,0.0439318062187431,1.0,0.0023463964,0.04158540977251507,0.04158540977251507,SH601607,上海医药,2026-03-13,1.1198043,1.1276534
78,SZ000333,0.0435671029837365,1.0,-0.00053203106,0.044099134043001635,0.044099134043001635,,,2026-03-13,1.3664912,1.38358
79,SH600018,0.0424637425020825,1.0,-0.0022753477,0.04473909021173826,0.04473909021173826,SH600018,上港集团,2026-03-13,1.0344179,1.0396514
80,SZ000983,0.0419778558187796,1.0,-0.026011229,0.06798908438018098,0.06798908438018098,,,2026-03-13,8.467615,8.572295
81,SH600161,0.0410192398447746,1.0,-0.0037326217,0.04475186151454389,0.04475186151454389,SH600161,天坛生物,2026-03-13,6.8915377,6.9431434
82,SH601318,0.0407158196676987,0.6666666666666666,0.02248025,0.018235570262791476,0.018235570262791476,SH601318,中国平安,2026-03-13,0.2710909,0.28148627
83,SZ300408,0.0403324000796522,0.6666666666666666,-0.004710257,0.04504265713302744,0.04504265713302744,,,2026-03-13,0.6044855,0.61987054
84,SZ000876,0.0402718668809532,1.0,-0.008982182,0.04925404843002547,0.04925404843002547,,,2026-03-13,11.25025,11.352565
85,SH600460,0.0398295156340958,0.6666666666666666,-0.026893795,0.06672331017068638,0.06672331017068638,SH600460,士兰微,2026-03-13,14.512423,14.562548
86,SH600019,0.0397841859109509,1.0,-0.005942285,0.045726470971833466,0.045726470971833466,SH600019,宝钢股份,2026-03-13,2.175342,2.2063906
87,SZ002311,0.0391350304467807,1.0,-0.032897234,0.07203226440979339,0.07203226440979339,,,2026-03-13,2.1141672,2.1186
88,SH601238,0.0389943089476183,1.0,-0.0035014749,0.042495783804948624,0.042495783804948624,SH601238,广汽集团,2026-03-13,0.30458206,0.30784243
89,SZ002709,0.0376580007117356,0.6666666666666666,-0.0474416,0.08509960246497046,0.08509960246497046,,,2026-03-13,25.683529,25.941076
90,SZ002459,0.0358613051838386,1.0,0.002322197,0.03353910822338938,0.03353910822338938,,,2026-03-13,0.07019903,0.07406513
91,SH603288,0.0357465487533621,0.6666666666666666,0.011441231,0.024305317979436317,0.024305317979436317,SH603288,海天味业,2026-03-13,0.6736513,0.69448924
92,SH688187,0.0352952617499842,0.6666666666666666,-0.025632441,0.06092770279383796,0.06092770279383796,SH688187,时代电气,2026-03-13,0.019374767,0.019496087
93,SH600015,0.0349530611147532,1.0,0.015356779,0.01959628201624246,0.01959628201624246,SH600015,华夏银行,2026-03-13,5.364103,5.468835
94,SH600377,0.0346376604037251,1.0,0.00576365,0.02887401046323438,0.02887401046323438,SH600377,宁沪高速,2026-03-13,2.9782836,3.01502
95,SH600276,0.0345948897846345,1.0,0.0127722025,0.021822687292874246,0.021822687292874246,SH600276,恒瑞医药,2026-03-13,308.0876,318.3406
96,SZ300347,0.0334726249812102,1.0,-0.025584102,0.05905672665815112,0.05905672665815112,,,2026-03-13,3.5832558,3.6241066
97,SH603259,0.0332410226003758,0.6666666666666666,0.014922738,0.018318284525119452,0.018318284525119452,SH603259,药明康德,2026-03-13,0.6101162,0.6334151
98,SH601018,0.0321091008383954,0.3333333333333333,-0.023569047,0.05567814828941469,0.05567814828941469,SH601018,宁波港,2026-03-13,0.652936,0.6529572
99,SZ002027,0.0311478632649268,1.0,0.020606637,0.010541226263889203,0.010541226263889203,,,2026-03-13,8.659501,8.965288
100,SH601916,0.0304817655731346,1.0,0.009324074,0.021157691781630694,0.021157691781630694,SH601916,浙商银行,2026-03-13,0.24034777,0.24405342
101,SH603799,0.0298772410064721,0.6666666666666666,-0.024587214,0.05446445499954461,0.05446445499954461,SH603799,华友钴业,2026-03-13,8.798128,8.906533
102,SH600584,0.0284329885272661,0.6666666666666666,-0.04372102,0.0721540087489763,0.0721540087489763,SH600584,长电科技,2026-03-13,5.8052535,5.841989
103,SH688169,0.0275790612860309,0.6666666666666666,0.004727602,0.022851459281026016,0.022851459281026016,SH688169,石头科技,2026-03-13,0.008203476,0.008291232
104,SH600941,0.0268000322049708,1.0,0.00033819675,0.026461835450515232,0.026461835450515232,SH600941,中国移动,2026-03-13,0.042758048,0.04303639
105,SZ002594,0.0264719395478494,0.6666666666666666,-0.016729891,0.04320183084805082,0.04320183084805082,,,2026-03-13,1.6020143,1.6332432
106,SZ000408,0.0260721993471803,0.6666666666666666,-0.0017393231,0.027811522486370973,0.027811522486370973,,,2026-03-13,10.553365,11.032278
107,SH601766,0.0255547246305186,1.0,-0.0042598248,0.029814549383326217,0.029814549383326217,SH601766,中国中车,2026-03-13,1.1556729,1.1638671
108,SH600196,0.0253041580715877,0.6666666666666666,0.0039001703,0.02140398774535479,0.02140398774535479,SH600196,复星医药,2026-03-13,7.2548714,7.393612
109,SH601601,0.0250289340030408,0.3333333333333333,0.022823215,0.0022057194720959752,0.0022057194720959752,SH601601,中国太保,2026-03-13,0.04455378,0.046340123
110,SH601825,0.0243925476391969,0.3333333333333333,0.0033899546,0.021002593072241334,0.021002593072241334,SH601825,沪农商行,2026-03-13,0.136649,0.13757545
111,SZ002920,0.0233813044364478,0.6666666666666666,-0.01615876,0.03954006403041142,0.03954006403041142,,,2026-03-13,0.15172875,0.15389802
112,SZ000063,0.0224404568014765,0.6666666666666666,-0.018354475,0.040794932299675964,0.040794932299675964,,,2026-03-13,6.5405383,6.5835667
113,SZ002371,0.0221337899762742,0.6666666666666666,-0.010359585,0.03249337526146097,0.03249337526146097,,,2026-03-13,5.44747,5.563063
