,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH600018,0.0578634312760506,0.9583333333333334,-0.013808966,0.07167239695903399,0.07167239695903399,SH600018,上港集团,2026-06-02,1.0228173,1.0224226
1,1,SZ000333,0.0634163265570413,1.0,0.00012886524,0.0632874613150369,0.0632874613150369,,,2026-06-02,1.4727203,1.4745259
2,2,SH600919,0.063752242986647,0.9166666666666666,-0.015592575,0.07934481805988919,0.07934481805988919,SH600919,江苏银行,2026-06-02,0.39476332,0.39378121
3,3,SH601988,0.0566053458907007,0.9166666666666666,-0.0038884878,0.060493833706557636,0.060493833706557636,SH601988,中国银行,2026-06-02,2.7763813,2.7780275
4,4,SH601838,0.0592003404913978,0.9583333333333334,-0.0010952353,0.060295575839145604,0.060295575839145604,SH601838,成都银行,2026-06-02,0.3831271,0.38367656
5,5,SH601939,0.0468296202046042,1.0,-0.011811018,0.0586406381947165,0.0586406381947165,SH601939,建设银行,2026-06-02,0.86896825,0.8680739
6,6,SH601059,0.0420497681792067,0.875,-0.013333261,0.055383029192237705,0.055383029192237705,SH601059,信达证券,2026-06-02,0.123802856,0.12369879
7,7,SH601398,0.0459303739994254,0.875,-0.008000076,0.053930449816533554,0.053930449816533554,SH601398,工商银行,2026-06-02,4.4520373,4.4536033
8,8,SH601916,0.0506212597542391,0.8333333333333334,-0.002352953,0.05297421271139242,0.05297421271139242,SH601916,浙商银行,2026-06-02,0.23819174,0.23940147
9,9,SH600887,0.0422735940333743,0.875,-0.0052152276,0.047488821637286655,0.047488821637286655,SH600887,伊利股份,2026-06-02,76.90013,77.100075
10,10,SH600085,0.0359941339615628,1.0,-0.0167346,0.05272873402870147,0.05272873402870147,SH600085,同仁堂,2026-06-02,6.329047,6.3145432
11,11,SH601818,0.0400302731531908,0.8333333333333334,-0.009188354,0.04921862716854114,0.04921862716854114,SH601818,光大银行,2026-06-02,1.0105402,1.0112249
12,12,SH601328,0.0413964319834129,0.875,-0.010204077,0.05160050875038067,0.05160050875038067,SH601328,交通银行,2026-06-02,0.27648604,0.27649435
13,13,SH600015,0.0383017690501038,0.875,-0.010035038,0.04833680704448857,0.04833680704448857,SH600015,华夏银行,2026-06-02,5.1901927,5.191038
14,14,SZ000596,0.0327792047423489,0.8333333333333334,-0.02751875,0.060297953979409444,0.060297953979409444,,,2026-06-02,5.3957543,5.3684263
15,15,SZ002422,0.0326287756533344,0.9583333333333334,-0.04824543,0.08087420564601018,0.08087420564601018,,,2026-06-02,0.23586173,0.23672237
