,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
86,86,SH601888,0.022007113588217,0.75,-0.006756723,0.028763836515310507,0.028763836515310507,SH601888,中国中免,2026-03-27,1.305547,1.3494434
87,87,SH601877,0.0210781259157617,0.625,-0.017277658,0.038355783901448955,0.038355783901448955,SH601877,正泰电器,2026-03-27,0.16044927,0.16441816
88,88,SH601607,0.0210228523108575,0.625,0.0149014,0.006121452698430743,0.006121452698430743,SH601607,上海医药,2026-03-27,1.0893203,1.1185435
89,89,SZ002142,0.0209880613120445,0.6875,0.011039257,0.009948804262483953,0.009948804262483953,,,2026-03-27,0.37404686,0.3847901
90,90,SH601058,0.0203412894539193,0.8125,-0.007727325,0.028068614416535267,0.028068614416535267,SH601058,赛轮轮胎,2026-03-27,4.033119,4.0827312
91,91,SH600372,0.0198874413957411,0.625,-0.0031870604,0.023074501751881235,0.023074501751881235,SH600372,中航机载,2026-03-27,0.6651663,0.681326
92,92,SH601688,0.0196121162265782,0.625,-0.022502959,0.04211507500114485,0.04211507500114485,SH601688,华泰证券,2026-03-27,0.079516314,0.079867624
93,93,SZ301269,0.0192302171931505,0.5,-0.014995813,0.03422603056290148,0.03422603056290148,,,2026-03-27,0.014761139,0.014956505
94,94,SH688111,0.0192195317048126,0.625,-0.013647318,0.032866849591165134,0.032866849591165134,SH688111,金山办公,2026-03-27,0.015280524,0.015506825
95,95,SZ300316,0.019027554156608,0.5625,-0.021662474,0.04069002783519687,0.04069002783519687,,,2026-03-27,3.2207043,3.3172379
96,96,SZ002001,0.018095599064794,0.4375,-0.04027891,0.05837451065537017,0.05837451065537017,,,2026-03-27,125.848114,125.77789
97,97,SH600039,0.0179155484012356,0.625,-0.0029512644,0.02086681278264429,0.02086681278264429,SH600039,四川路桥,2026-03-27,25.549545,25.980577
98,98,SZ300347,0.0176958642019138,0.5,0.021821737,-0.004125873087514911,0.004125873087514911,,,2026-03-27,3.47383,3.69138
99,99,SZ000708,0.0175626271975825,0.375,-0.015605748,0.03316837489732005,0.03316837489732005,,,2026-03-27,5.999433,6.018199
100,100,SH601021,0.0174926776635482,0.6875,-0.0007119179,0.018204595540745466,0.018204595540745466,SH601021,春秋航空,2026-03-27,0.30578518,0.31533632
101,101,SZ000157,0.0172562669863902,0.5,0.028703809,-0.011447541798094662,0.011447541798094662,,,2026-03-27,124.108215,130.34221
102,102,SZ002601,0.0168429502693439,0.625,-0.014168441,0.03101139156496768,0.03101139156496768,,,2026-03-27,0.23283099,0.2344073
103,103,SH601236,0.0165917556371313,0.75,-0.012958944,0.02955069948097285,0.02955069948097285,SH601236,红塔证券,2026-03-27,0.44555524,0.44836035
104,104,SZ002475,0.0156344975017992,0.5,0.010257244,0.005377253391691778,0.005377253391691778,,,2026-03-27,36.565075,37.960114
105,105,SH600089,0.0153230292523351,0.5,-0.045736194,0.061059222909256486,0.061059222909256486,SH600089,特变电工,2026-03-27,52.782482,53.143246
106,106,SH600111,0.0150823457764144,0.625,0.012103081,0.0029792650269026815,0.0029792650269026815,SH600111,北方稀土,2026-03-27,96.42594,98.41208
107,107,SH688396,0.0150139349955931,0.6875,-0.016568601,0.03158253612703231,0.03158253612703231,SH688396,华润微,2026-03-27,0.026323875,0.026829073
108,108,SH688126,0.0145270999791579,0.5,-0.02137494,0.035902040851350285,0.035902040851350285,SH688126,沪硅产业,2026-03-27,0.1457647,0.1477209
109,109,SH600795,0.0142755480371154,0.5,-0.012244284,0.02651983219010002,0.02651983219010002,SH600795,国电电力,2026-03-27,38.51567,38.672928
110,110,SH603986,0.0140803467862854,0.625,-0.069383085,0.08346343156030274,0.08346343156030274,SH603986,兆易创新,2026-03-27,7.2766585,7.1670594
111,111,SZ300251,0.0138905313376813,0.625,0.019891977,-0.006001445972499363,0.006001445972499363,,,2026-03-27,2.027812,2.1178992
112,112,SH688009,0.0124319538772397,0.4375,0.020740747,-0.008308793574542526,0.008308793574542526,SH688009,中国通号,2026-03-27,0.054430667,0.05697983
113,113,SH601601,0.0123215752646086,0.5,0.011991143,0.00033043203798506504,0.00033043203798506504,SH601601,中国太保,2026-03-27,0.04124233,0.042422704
114,114,SH600150,0.0110309488187935,0.4375,0.009459615,0.001571334065070356,0.001571334065070356,SH600150,中国船舶,2026-03-27,6.8660808,7.085872
115,115,SH601901,0.0110022808641623,0.4375,-0.014885068,0.0258873488039206,0.0258873488039206,SH601901,方正证券,2026-03-27,0.25275144,0.25439385
116,116,SZ002241,0.0109829997077729,0.5625,-0.0026649833,0.01364798298032539,0.01364798298032539,,,2026-03-27,13.3116045,13.626592
117,117,SZ000301,0.0107920022272923,0.625,-0.014774561,0.025566563155637025,0.025566563155637025,,,2026-03-27,0.35174397,0.35762024
118,118,SZ300408,0.01042913279433,0.3125,-0.023093939,0.03352307162184465,0.03352307162184465,,,2026-03-27,0.5939306,0.60141
119,119,SZ000166,0.0103178828468692,0.5,-0.0040376782,0.014355561088598937,0.014355561088598937,,,2026-03-27,0.030419683,0.030886238
120,120,SH601211,0.0098856947472091,0.4375,-0.0062472224,0.016132917170762567,0.016132917170762567,SH601211,国泰海通,2026-03-27,0.037359633,0.037966866
121,121,SH600309,0.0097468658298752,0.375,-0.014390111,0.024136976799418657,0.024136976799418657,SH600309,万华化学,2026-03-27,148.33496,149.4207
122,122,SH601456,0.0093167652123294,0.5,-0.007368386,0.016685151004107966,0.016685151004107966,SH601456,国联民生,2026-03-27,0.2633439,0.26522136
123,123,SH600930,0.0092967606671296,0.5625,-0.020186365,0.029483125317855918,0.029483125317855918,SH600930,华电新能,2026-03-27,0.12550609,0.12631364
124,124,SH601117,0.0089356972703729,0.375,-0.0293625,0.0382981969842706,0.0382981969842706,SH601117,中国化学,2026-03-27,0.47433877,0.47686416
125,125,SH601012,0.0083548122170859,0.75,-0.023398876,0.03175368840727145,0.03175368840727145,SH601012,隆基绿能,2026-03-27,17.917494,17.97685
126,126,SZ000983,0.0080405795791403,0.3125,-0.044279575,0.05232015492704069,0.05232015492704069,,,2026-03-27,8.107253,8.050432
127,127,SH688187,0.0079813583806455,0.4375,0.023123503,-0.015142144350677742,0.015142144350677742,SH688187,时代电气,2026-03-27,0.017685007,0.01846812
128,128,SZ002600,0.0079675448130278,0.4375,-0.0086025,0.016570044774880825,0.016570044774880825,,,2026-03-27,0.62997,0.63957554
129,129,SZ002236,0.0078120903998902,0.375,0.008986354,-0.0011742634743163432,0.0011742634743163432,,,2026-03-27,22.20625,22.685144
130,130,SH600415,0.007787118290172,0.5625,-0.014462769,0.02224988732169666,0.02224988732169666,SH600415,小商品城,2026-03-27,46.53804,46.716007
131,131,SH600803,0.0076347228730125,0.3125,-0.025502384,0.03313710658196636,0.03313710658196636,SH600803,新奥股份,2026-03-27,3.2196748,3.2464254
132,132,SH688008,0.0076147085703163,0.5625,-0.05094087,0.058555579809024795,0.058555579809024795,SH688008,澜起科技,2026-03-27,0.02497835,0.024598243
133,133,SH601633,0.0074715826771498,0.75,0.015748978,-0.008277394983983014,0.008277394983983014,SH601633,长城汽车,2026-03-27,2.2801027,2.348553
134,134,SZ002371,0.0073129726234784,0.4375,-0.04658389,0.053896863538395394,0.053896863538395394,,,2026-03-27,5.6167555,5.5945835
135,135,SZ301236,0.006955598173409,0.5625,-0.016267717,0.023223315058022036,0.023223315058022036,,,2026-03-27,0.05376633,0.054253086
136,136,SH600026,0.0069248449702965,0.5,-0.026641726,0.03356657146413195,0.03356657146413195,SH600026,中远海能,2026-03-27,4.1097007,4.198002
137,137,SH600515,0.0065425329950886,0.625,-0.013322234,0.019864767148836157,0.019864767148836157,SH600515,海南机场,2026-03-27,0.22972299,0.23299523
138,138,SH688036,0.0063961522169297,0.4375,0.011990428,-0.00559427575395653,0.00559427575395653,SH688036,传音控股,2026-03-27,0.04235023,0.04486604
139,139,SH600188,0.0063707164976791,0.25,-0.039671957,0.04604267399050747,0.04604267399050747,SH600188,兖矿能源,2026-03-27,34.872562,35.290142
140,140,SZ002459,0.0059376902417221,0.4375,-0.043941855,0.049879545672325123,0.049879545672325123,,,2026-03-27,0.06307115,0.06317094
