,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH600015,0.1223114271798515,1.0,0.005834341,0.11647708613065716,0.11647708613065716,SH600015,华夏银行,2026-03-09,5.1901927,5.235756
1,SH601077,0.0988571195330421,1.0,0.019853711,0.07900340840480724,0.07900340840480724,SH601077,渝农商行,2026-03-09,0.15921162,0.16311401
2,SH601006,0.0948039096016469,1.0,0.024584293,0.07021961623616839,0.07021961623616839,SH601006,大秦铁路,2026-03-09,1.2002301,1.22941
3,SH603195,0.089273861087032,1.0,-0.0027418733,0.09201573435134475,0.09201573435134475,SH603195,公牛集团,2026-03-09,0.069699734,0.06998633
4,SH601816,0.088169072200291,1.0,0.005504608,0.08266446404599412,0.08266446404599412,SH601816,京沪高铁,2026-03-09,0.12832884,0.12923321
5,SH600036,0.0867994215957262,1.0,0.007118702,0.07968071966091175,0.07968071966091175,SH600036,招商银行,2026-03-09,14.505547,14.60851
6,SH600926,0.0795739022588541,1.0,0.015990734,0.06358316815851231,0.06358316815851231,SH600926,杭州银行,2026-03-09,0.26380336,0.2682286
7,SH601628,0.0734824539790996,0.6666666666666666,-0.0015673637,0.07504981771811327,0.07504981771811327,SH601628,中国人寿,2026-03-09,0.050972175,0.051349882
8,SH601398,0.0734175159532227,1.0,0.0113765,0.06204101582352299,0.06204101582352299,SH601398,工商银行,2026-03-09,4.080538,4.1270127
9,SH601328,0.0704100475999037,1.0,0.008743167,0.06166688067638075,0.06166688067638075,SH601328,交通银行,2026-03-09,0.27182633,0.27455994
10,SH600016,0.0701629747952894,1.0,0.0076076984,0.06255527635473765,0.06255527635473765,SH600016,民生银行,2026-03-09,15.403675,15.559857
11,SH601988,0.0678489020093448,1.0,0.0058096647,0.06203923728308748,0.06203923728308748,SH601988,中国银行,2026-03-09,2.4766364,2.491474
12,SH600941,0.0643585368263525,1.0,0.012466431,0.051892106162289994,0.051892106162289994,SH600941,中国移动,2026-03-09,0.041747812,0.04239486
13,SH600018,0.0642128130306217,1.0,0.008101821,0.05611099208488195,0.05611099208488195,SH600018,上港集团,2026-03-09,1.0170169,1.0275267
14,SZ002252,0.0635438487757386,0.6666666666666666,0.0048390627,0.058704786085003735,0.058704786085003735,SZ002252,上海莱士,2026-03-09,8.992942,9.03674
15,SH600919,0.0625081565849066,1.0,0.008591056,0.05391710071485045,0.05391710071485045,SH600919,江苏银行,2026-03-09,0.3581067,0.36151564
16,SH601818,0.0616322440315413,1.0,0.011869431,0.04976281348954911,0.04976281348954911,SH601818,光大银行,2026-03-09,1.0434563,1.0553844
17,SZ000538,0.0582076450300013,1.0,0.003540635,0.05466700992105355,0.05466700992105355,SZ000538,云南白药,2026-03-09,75.29795,75.64459
18,SH601658,0.0580526187205281,0.6666666666666666,0.010324359,0.04772825978040359,0.04772825978040359,SH601658,邮储银行,2026-03-09,0.29329476,0.2964063
19,SH601825,0.0540878583150575,0.6666666666666666,0.005338073,0.04874978553826307,0.04874978553826307,SH601825,沪农商行,2026-03-09,0.13012753,0.13105668
20,SH601088,0.0525996326878721,0.6666666666666666,0.035728693,0.01687093967944925,0.01687093967944925,SH601088,中国神华,2026-03-09,0.06931911,0.072140954
21,SH601998,0.0523666663740933,1.0,0.010730982,0.04163568454731107,0.04163568454731107,SH601998,中信银行,2026-03-09,0.23686329,0.2396629
22,SZ000725,0.0509916553186895,0.6666666666666666,0.009318113,0.041673541991663135,0.041673541991663135,SZ000725,京东方Ａ,2026-03-09,0.24715912,0.25006086
23,SH600674,0.0501985778596616,0.6666666666666666,0.009496331,0.040702246644756815,0.040702246644756815,SH600674,川投能源,2026-03-09,70.51106,71.62699
24,SH601618,0.0472762960202176,0.6666666666666666,0.026829243,0.020447053313918773,0.020447053313918773,SH601618,中国中冶,2026-03-09,0.11044898,0.1132301
25,SH601169,0.0469616661326536,1.0,0.009036064,0.037925601984704384,0.037925601984704384,SH601169,北京银行,2026-03-09,0.2544376,0.2566756
26,SH600377,0.0445382495456556,1.0,0.0074965954,0.03704165416296517,0.03704165416296517,SH600377,宁沪高速,2026-03-09,2.9063513,2.9283273
27,SH600050,0.0440171959300238,1.0,0.016411304,0.02760589145614685,0.02760589145614685,SH600050,中国联通,2026-03-09,2.0447814,2.0830414
28,SH601607,0.0439782457060744,0.6666666666666666,0.0017306805,0.04224756524037616,0.04224756524037616,SH601607,上海医药,2026-03-09,1.1133258,1.1158826
29,SH601838,0.043525437007462,1.0,0.017012477,0.02651296008638046,0.02651296008638046,SH601838,成都银行,2026-03-09,0.33711788,0.34303245
30,SH601236,0.0419504398153047,0.6666666666666666,0.0021164417,0.03983399808862013,0.03983399808862013,SH601236,红塔证券,2026-03-09,0.4546527,0.4565763
31,SH600887,0.0415156217806186,1.0,0.0015159845,0.039999637245401315,0.039999637245401315,SH600887,伊利股份,2026-03-09,75.582886,75.7548
32,SH600600,0.0410943704193185,1.0,0.0022200346,0.0388743358200143,0.0388743358200143,SH600600,青岛啤酒,2026-03-09,2.726411,2.7354844
33,SH601229,0.0407888089221971,0.6666666666666666,0.01584649,0.024942318062211748,0.024942318062211748,SH601229,上海银行,2026-03-09,0.20645642,0.21041109
34,SZ000999,0.0404811128412019,1.0,-0.008742571,0.049223683718277095,0.049223683718277095,SZ000999,华润三九,2026-03-09,0.6994092,0.70096624
35,SH600023,0.0404639233245808,1.0,0.012820482,0.02764344107055248,0.02764344107055248,SH600023,浙能电力,2026-03-09,0.27696615,0.28051698
36,SH600019,0.0400547917407983,0.6666666666666666,0.005840659,0.03421413259925777,0.03421413259925777,SH600019,宝钢股份,2026-03-09,2.213112,2.2294805
37,SH601916,0.0399520359728795,1.0,0.0119332075,0.028018828460977648,0.028018828460977648,SH601916,浙商银行,2026-03-09,0.23457009,0.23784691
38,SH600025,0.0391933557457033,0.3333333333333333,0.017227888,0.021965467638403492,0.021965467638403492,SH600025,华能水电,2026-03-09,1.6154513,1.6493019
39,SH600027,0.0391860847528222,0.6666666666666666,0.025402308,0.013783777242446227,0.013783777242446227,SH600027,华电国际,2026-03-09,1.3314948,1.3655303
40,SH601668,0.0383255704353488,1.0,0.020100474,0.01822509607774382,0.01822509607774382,SH601668,中国建筑,2026-03-09,0.66468257,0.67818916
41,SH600150,0.0349234322947093,0.6666666666666666,-0.0119172335,0.046840665761811354,0.046840665761811354,SH600150,中国船舶,2026-03-09,8.315819,8.33562
42,SH601766,0.0344890547792258,0.3333333333333333,0.017353654,0.01713540087144992,0.01713540087144992,SH601766,中国中车,2026-03-09,1.135463,1.158624
43,SH601009,0.0318563488928053,0.6666666666666666,0.005489588,0.026366761108991825,0.026366761108991825,SH601009,南京银行,2026-03-09,1.5492704,1.5648776
44,SZ002459,0.0299195203441763,1.0,0.0017851591,0.02813436123315335,0.02813436123315335,SZ002459,晶澳科技,2026-03-09,0.06849055,0.06973129
45,SZ002352,0.0280687468888018,0.6666666666666666,0.0,0.0280687468888018,0.0280687468888018,SZ002352,顺丰控股,2026-03-09,0.5100462,0.5122329
46,SH600104,0.0274266767034149,0.6666666666666666,0.017041802,0.010384874297103865,0.010384874297103865,SH600104,上汽集团,2026-03-09,8.693532,8.859899
47,SH600900,0.0252010488996159,1.0,0.0055372715,0.01966377739998211,0.01966377739998211,SH600900,长江电力,2026-03-09,10.21931,10.279785
48,SH601186,0.0245345163022232,0.6666666666666666,0.012104273,0.012430243459815974,0.012430243459815974,SH601186,中国铁建,2026-03-09,0.11694219,0.1186486
49,SZ000001,0.0243113853174029,0.6666666666666666,0.0074031353,0.016908250017720283,0.016908250017720283,SZ000001,平安银行,2026-03-09,1.2472456,1.2576358
50,SZ000876,0.0243018407477065,1.0,0.0078936815,0.016408159221522417,0.016408159221522417,SZ000876,新 希 望,2026-03-09,11.213033,11.313948
51,SZ000100,0.0241970086040189,0.6666666666666666,0.010445356,0.013751652235000345,0.013751652235000345,SZ000100,TCL科技,2026-03-09,1.1891447,1.2090641
52,SH600031,0.0240941797997019,0.3333333333333333,0.008611441,0.015482739141132563,0.015482739141132563,SH600031,三一重工,2026-03-09,139.90472,141.68008
53,SZ300628,0.0239030218160207,0.6666666666666666,-0.0031340718,0.027037093642955513,0.027037093642955513,SZ300628,亿联网络,2026-03-09,0.8848013,0.88782597
54,SZ002371,0.0224789962625906,0.3333333333333333,0.010917544,0.0115614518976614,0.0115614518976614,SZ002371,北方华创,2026-03-09,5.4749107,5.542942
55,SZ000425,0.0220909490342498,0.6666666666666666,-0.0064558983,0.02854684731916191,0.02854684731916191,SZ000425,徐工机械,2026-03-09,42.83414,43.00767
56,SH601800,0.0220337277795966,0.6666666666666666,0.012396693,0.009637034549921306,0.009637034549921306,SH601800,中国交建,2026-03-09,0.405009,0.41256645
57,SZ000983,0.0212340905680674,0.6666666666666666,0.025510192,-0.004276101349352034,0.004276101349352034,SZ000983,山西焦煤,2026-03-09,8.177377,8.409002
58,SH603259,0.0195704114178173,0.3333333333333333,-0.0133962035,0.03296661493573112,0.03296661493573112,SH603259,药明康德,2026-03-09,0.6305289,0.63586944
59,SH600011,0.0189799945798378,0.3333333333333333,0.025389671,-0.006409676745845794,0.006409676745845794,SH600011,华能国际,2026-03-09,1.1310531,1.1614144
60,SZ000895,0.0176408589529875,0.6666666666666666,0.009175301,0.008465558354842969,0.008465558354842969,SZ000895,双汇发展,2026-03-09,63.146503,63.88831
61,SH601012,0.0150518374426767,0.6666666666666666,0.0124002695,0.002651567934314883,0.002651567934314883,SH601012,隆基绿能,2026-03-09,18.515469,18.904835
62,SH600660,0.0115788197004713,0.3333333333333333,0.012373328,-0.0007945085084520402,0.0007945085084520402,SH600660,福耀玻璃,2026-03-09,210.09982,213.3049
63,SZ300750,0.0112518455119471,0.6666666666666666,0.05448103,-0.04322918399855095,0.04322918399855095,SZ300750,宁德时代,2026-03-09,1.0579077,1.1345236
64,SZ002594,0.0104109917171791,0.3333333333333333,0.027129292,-0.016718300770919042,0.016718300770919042,SZ002594,比亚迪,2026-03-09,1.4791815,1.5364712
65,SZ000708,0.0103705033213047,0.3333333333333333,0.008092999,0.0022775038629917112,0.0022775038629917112,SZ000708,中信特钢,2026-03-09,6.291439,6.3607497
66,SZ003816,0.0101489614587681,0.3333333333333333,0.032388687,-0.022239725675020965,0.022239725675020965,SZ003816,中国广核,2026-03-09,0.44763562,0.4639307
67,SZ000651,0.009154028621345,0.3333333333333333,0.0015894175,0.007564611163764433,0.007564611163764433,SZ000651,格力电器,2026-03-09,469.3739,470.99033
68,SH601319,0.0088089320012481,0.3333333333333333,0.0029556751,0.0058532568761260305,0.0058532568761260305,SH601319,中国人保,2026-03-09,0.5220269,0.5251109
69,SH688009,0.0070587308715013,0.3333333333333333,0.04043126,-0.03337253019112077,0.03337253019112077,SH688009,中国通号,2026-03-09,0.059851836,0.062340554
70,SZ000063,0.0031048177489071,0.3333333333333333,0.006786108,-0.0036812902680606733,0.0036812902680606733,SZ000063,中兴通讯,2026-03-09,6.6068554,6.7914996
71,SH601939,0.0030131091968315,0.6666666666666666,0.012556076,-0.009542966852973189,0.009542966852973189,SH601939,建设银行,2026-03-09,0.76270473,0.77247345
72,SH601238,0.0022947235784565,0.3333333333333333,0.007790327,-0.005495603493687055,0.005495603493687055,SH601238,广汽集团,2026-03-09,0.3012222,0.30553073
73,SH600233,0.0017298677111547,0.3333333333333333,0.022127151,-0.020397283778103112,0.020397283778103112,SH600233,圆通速递,2026-03-09,1.7399297,1.7910146
74,SH601225,4.263662279414826e-05,0.3333333333333333,0.013507247,-0.013464610348336223,0.013464610348336223,SH601225,陕西煤业,2026-03-09,3.6746414,3.7402098
