,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH601838,0.0554177624415466,1.0,0.02631569,0.029102073354632538,0.029102073354632538,SH601838,成都银行,2026-06-09,0.38268462,0.39369997
1,1,SH600900,0.0529343359772629,0.875,0.0020999908,0.05083434513253634,0.05083434513253634,SH600900,长江电力,2026-06-09,10.399995,10.470018
2,2,SH600919,0.0578505489893218,0.875,0.006153822,0.05169672704413137,0.05169672704413137,SH600919,江苏银行,2026-06-09,0.39994028,0.40554962
3,3,SH601939,0.0532645315129942,1.0,0.012379169,0.04088536204888287,0.04088536204888287,SH601939,建设银行,2026-06-09,0.8843936,0.91311294
4,4,SZ000333,0.0502880247647895,0.9166666666666666,0.018707156,0.031580868583454054,0.031580868583454054,SZ000333,美的集团,2026-06-09,1.4684643,1.5134213
5,5,SH600036,0.0459640261222978,0.875,0.010619998,0.03534402814408735,0.03534402814408735,SH600036,招商银行,2026-06-09,14.235844,14.45314
6,6,SH601916,0.0372150586645034,0.9166666666666666,0.011764765,0.025450293878736797,0.025450293878736797,SH601916,浙商银行,2026-06-09,0.23819174,0.24069317
7,7,SH601818,0.0356753803042286,0.875,0.0154082775,0.02026710279263192,0.02026710279263192,SH601818,光大银行,2026-06-09,1.0045762,1.0194865
8,8,SH601166,0.0403279661170632,0.875,0.023902535,0.0164254306785256,0.0164254306785256,SH601166,兴业银行,2026-06-09,1.2736763,1.306951
