,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
48,SH600377,0.0346376604037251,1.0,0.00576365,0.02887401046323438,0.02887401046323438,SH600377,宁沪高速,2026-03-13,2.9782836,3.01502
49,SH603259,0.0332410226003758,0.6666666666666666,0.014922738,0.018318284525119452,0.018318284525119452,SH603259,药明康德,2026-03-13,0.6101162,0.6334151
50,SZ002027,0.0311478632649268,1.0,0.020606637,0.010541226263889203,0.010541226263889203,,,2026-03-13,8.659501,8.965288
51,SH601916,0.0304817655731346,1.0,0.009324074,0.021157691781630694,0.021157691781630694,SH601916,浙商银行,2026-03-13,0.24034777,0.24405342
52,SH600941,0.0268000322049708,1.0,0.00033819675,0.026461835450515232,0.026461835450515232,SH600941,中国移动,2026-03-13,0.042758048,0.04303639
53,SZ002594,0.0264719395478494,0.6666666666666666,-0.016729891,0.04320183084805082,0.04320183084805082,,,2026-03-13,1.6020143,1.6332432
54,SH601766,0.0255547246305186,1.0,-0.0042598248,0.029814549383326217,0.029814549383326217,SH601766,中国中车,2026-03-13,1.1556729,1.1638671
55,SH600196,0.0253041580715877,0.6666666666666666,0.0039001703,0.02140398774535479,0.02140398774535479,SH600196,复星医药,2026-03-13,7.2548714,7.393612
56,SH601825,0.0243925476391969,0.3333333333333333,0.0033899546,0.021002593072241334,0.021002593072241334,SH601825,沪农商行,2026-03-13,0.136649,0.13757545
57,SZ000063,0.0224404568014765,0.6666666666666666,-0.018354475,0.040794932299675964,0.040794932299675964,,,2026-03-13,6.5405383,6.5835667
58,SZ002371,0.0221337899762742,0.6666666666666666,-0.010359585,0.03249337526146097,0.03249337526146097,,,2026-03-13,5.44747,5.563063
59,SH600809,0.0191848108512433,0.6666666666666666,0.0,0.0191848108512433,0.0191848108512433,SH600809,山西汾酒,2026-03-13,111.28044,112.6371
60,SZ300896,0.0174581736274253,0.3333333333333333,-0.00089377165,0.018351945275832282,0.018351945275832282,,,2026-03-13,0.008750757,0.008855698
61,SZ001965,0.0168198217421674,0.6666666666666666,0.0,0.0168198217421674,0.0168198217421674,,,2026-03-13,0.1388959,0.14025098
62,SZ000858,0.0164853147002738,0.6666666666666666,0.002394557,0.014090757701067259,0.014090757701067259,,,2026-03-13,20.009989,20.25512
63,SH601236,0.0154677161044833,0.6666666666666666,0.004171014,0.011296702272391015,0.011296702272391015,SH601236,红塔证券,2026-03-13,0.46123523,0.46910372
64,SH600039,0.0153904596440515,1.0,-0.018899202,0.03428966199085326,0.03428966199085326,SH600039,四川路桥,2026-03-13,25.423513,25.60092
65,SH601012,0.0144712552147275,1.0,0.005888939,0.008582316310918906,0.008582316310918906,SH601012,隆基绿能,2026-03-13,18.63547,19.383692
66,SZ002252,0.0143862783016099,0.3333333333333333,0.0,0.0143862783016099,0.0143862783016099,,,2026-03-13,8.950303,9.036779
67,SH601618,0.0128162683601265,0.6666666666666666,-0.0024272203,0.015243488704669957,0.015243488704669957,SH601618,中国中冶,2026-03-13,0.110827714,0.113430426
68,SZ300750,0.0122039204495176,0.6666666666666666,-0.00831759,0.02052151020934426,0.02052151020934426,,,2026-03-13,1.1481439,1.1807731
69,SH600050,0.0110408197769591,1.0,-0.009708762,0.02074958194584338,0.02074958194584338,SH600050,中国联通,2026-03-13,2.0740905,2.0874372
70,SH600519,0.0102936524343698,1.0,0.016997576,-0.006703923325517896,0.006703923325517896,SH600519,贵州茅台,2026-03-13,82.42219,84.5609
71,SH601100,0.0096154722677114,0.6666666666666666,-0.014228404,0.023843875835979224,0.023843875835979224,SH601100,恒立液压,2026-03-13,2.3791425,2.4219599
72,SH601136,0.0093950928369574,0.3333333333333333,0.003908396,0.005486697069745486,0.005486697069745486,SH601136,首创证券,2026-03-13,0.17717512,0.1796753
73,SZ002236,0.0084996183693341,0.3333333333333333,-0.010586083,0.01908570130466735,0.01908570130466735,,,2026-03-13,23.855127,24.028223
74,SH600085,0.0079165886164468,0.3333333333333333,0.0006558895,0.007260699105338402,0.007260699105338402,SH600085,同仁堂,2026-03-13,7.439055,7.515408
75,SZ002352,0.0064072224149233,0.6666666666666666,-0.0055598617,0.011967084074926963,0.011967084074926963,,,2026-03-13,0.51522344,0.520291
76,SH601077,0.0043686290791333,0.3333333333333333,0.005859256,-0.0014906267115771489,0.0014906267115771489,SH601077,渝农商行,2026-03-13,0.17037429,0.17188703
77,SH601998,0.0037970735480287,0.3333333333333333,0.034127474,-0.030330400283148057,0.030330400283148057,SH601998,中信银行,2026-03-13,0.24677444,0.2557836
78,SH603296,0.0027546951465084,0.6666666666666666,-0.0349617,0.03771639558596152,0.03771639558596152,SH603296,华勤技术,2026-03-13,0.03430854,0.03450501
79,SZ000651,0.0011275858601406,0.6666666666666666,0.004125476,-0.002997890023343287,0.002997890023343287,,,2026-03-13,482.30847,487.5317
