,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH600016,0.03990366255626,0.9166666666666666,0.0076076984,0.032295964115708245,0.032295964115708245,SH600016,民生银行,2026-03-10,15.403675,15.559857
1,1,SH601916,0.0365847457120923,0.9166666666666666,0.0119332075,0.02465153820019044,0.02465153820019044,SH601916,浙商银行,2026-03-10,0.23457009,0.23784691
2,2,SH601018,0.0419630918641071,1.0,-0.004983425,0.04694651700448796,0.04694651700448796,SH601018,宁波港,2026-03-10,0.66128415,0.6654533
3,3,SH601668,0.0360221229423961,0.75,0.020100474,0.015921648584791122,0.015921648584791122,SH601668,中国建筑,2026-03-10,0.66468257,0.67818916
4,4,SH600015,0.0337468112162755,0.9166666666666666,0.005834341,0.027912470167081163,0.027912470167081163,SH600015,华夏银行,2026-03-10,5.1901927,5.235756
5,5,SH601169,0.0325795536117241,0.75,0.009036064,0.02354348946377488,0.02354348946377488,SH601169,北京银行,2026-03-10,0.2544376,0.2566756
6,6,SH601006,0.0289783045307619,0.9166666666666666,0.024584293,0.004394011165283384,0.004394011165283384,SH601006,大秦铁路,2026-03-10,1.2002301,1.22941
7,7,SH600919,0.0287986749328221,0.8333333333333334,0.008591056,0.02020761906276595,0.02020761906276595,SH600919,江苏银行,2026-03-10,0.3581067,0.36151564
8,8,SH603195,0.0266805627362668,0.9166666666666666,-0.0027418733,0.029422436000579543,0.029422436000579543,SH603195,公牛集团,2026-03-10,0.069699734,0.06998633
9,9,SZ001965,0.0285018980839974,0.9166666666666666,0.018768787,0.009733110699964197,0.009733110699964197,,,2026-03-10,0.13556775,0.13821636
10,10,SH601818,0.0312720288034716,0.6666666666666666,0.011869431,0.019402598261479415,0.019402598261479415,SH601818,光大银行,2026-03-10,1.0434563,1.0553844
11,11,SZ002311,0.0248930889294334,0.9166666666666666,0.01324904,0.01164404927947002,0.01164404927947002,,,2026-03-10,1.9889503,2.0303025
12,12,SH600600,0.0282991369898435,0.75,0.0022200346,0.026079102390539302,0.026079102390539302,SH600600,青岛啤酒,2026-03-10,2.726411,2.7354844
13,13,SZ000538,0.0241115852140387,0.6666666666666666,0.003540635,0.020570950105090947,0.020570950105090947,,,2026-03-10,75.29795,75.64459
14,14,SZ002415,0.0262098340913008,0.75,0.010536671,0.01567316340648635,0.01567316340648635,,,2026-03-10,2.646814,2.6789293
15,15,SH600023,0.0247663159106499,0.75,0.012820482,0.01194583365662158,0.01194583365662158,SH600023,浙能电力,2026-03-10,0.27696615,0.28051698
16,16,SH600150,0.0284334205359623,0.75,-0.0119172335,0.040350654003064354,0.040350654003064354,SH600150,中国船舶,2026-03-10,8.315819,8.33562
