,instrument,avg_score,pos_ratio,real_label,error,abs_error,datetime,n1close,n2high
106,SH601881,0.0333644022473595,1.0,-0.0035927892,0.03695719142048572,0.03695719142048572,2026-03-11,0.20567615,0.20813923
107,SH600660,0.0329905661837892,1.0,-0.0065097213,0.039500287462933485,0.039500287462933485,2026-03-11,213.30447,214.72937
108,SH600999,0.0314785970129547,1.0,-0.009298444,0.040777040807205185,0.040777040807205185,2026-03-11,0.06912587,0.06921172
109,SH601009,0.0314200740867395,1.0,0.0008832216,0.03053685246045776,0.03053685246045776,2026-03-11,1.5678158,1.5902349
110,SH603288,0.0311915354667196,1.0,0.020820498,0.0103710370002279,0.0103710370002279,2026-03-11,0.6475762,0.6699942
111,SZ000338,0.0303314813417122,1.0,-0.012693167,0.04302464807450029,0.04302464807450029,2026-03-11,3.286189,3.3514268
112,SH688082,0.0287185779118134,1.0,-0.011723638,0.04044221549268498,0.04044221549268498,2026-03-11,0.009524184,0.009597691
113,SH601988,0.0279649597068245,1.0,0.0036022663,0.02436269339517899,0.02436269339517899,2026-03-11,2.4976192,2.5202613
114,SZ300760,0.0275080436364337,1.0,0.0022175312,0.025290512432210067,0.025290512432210067,2026-03-11,0.044747837,0.045009088
115,SZ002074,0.027092777858688,1.0,-0.006419599,0.0335123769149319,0.0335123769149319,2026-03-11,3.7134154,3.762907
116,SZ300347,0.0262865046843437,1.0,-0.012531936,0.03881844085301435,0.03881844085301435,2026-03-11,3.6801476,3.7145164
117,SH688187,0.0262525146901884,1.0,-0.0009992719,0.027251786559847824,0.027251786559847824,2026-03-11,0.019490037,0.019701887
118,SH601600,0.0259862570130981,1.0,-0.0459913,0.07197755854965816,0.07197755854965816,2026-03-11,0.05119327,0.05203432
119,SH600958,0.0238995233551203,1.0,-0.004088342,0.02798786554490912,0.02798786554490912,2026-03-11,0.073196866,0.073718704
120,SH600919,0.0234234482287436,1.0,0.008412719,0.015010729455855416,0.015010729455855416,2026-03-11,0.36573794,0.37120536
121,SH688111,0.0219974446341477,1.0,-0.0047135353,0.02671097994298559,0.02671097994298559,2026-03-11,0.018074866,0.018170994
122,SH600893,0.0217942641519193,1.0,-0.033028245,0.05482250912414831,0.05482250912414831,2026-03-11,7.194918,7.212907
123,SZ300782,0.0209755656518075,1.0,-0.028457344,0.04943290923014612,0.04943290923014612,2026-03-11,0.8772683,0.8885923
124,SH601901,0.0197146577834076,1.0,0.0012594461,0.018455211639303595,0.018455211639303595,2026-03-11,0.2716647,0.27418417
125,SZ300124,0.0176779089514299,1.0,0.022902012,-0.005224102919907991,0.005224102919907991,2026-03-11,5.22672,5.3464007
126,SZ001391,0.0171017326893878,1.0,0.0,0.0171017326893878,0.0171017326893878,2026-03-11,0.067064844,0.06741782
127,SH600795,0.0160518591594454,1.0,-0.028630614,0.04468247344014609,0.04468247344014609,2026-03-11,41.188416,41.502434
128,SZ300308,0.0158856665230457,1.0,0.013498306,0.0023873602486316377,0.0023873602486316377,2026-03-11,48.96867,50.257687
129,SH601377,0.015782054117749,1.0,-0.014192104,0.029974158457348608,0.029974158457348608,2026-03-11,0.23311259,0.23328623
130,SH688303,0.0157139960192869,1.0,-0.01050657,0.02622056635848978,0.02622056635848978,2026-03-11,0.007907784,0.0080539305
131,SH600522,0.015417787076619,1.0,-0.016191363,0.03160915041127476,0.03160915041127476,2026-03-11,16.707241,17.536413
132,SH603993,0.0143321375185215,1.0,-0.043621063,0.05795320075094337,0.05795320075094337,2026-03-11,3.0234344,3.0289168
133,SH600085,0.0140631385272835,1.0,-0.0040017366,0.018064875168213673,0.018064875168213673,2026-03-11,7.416936,7.4389696
134,SH688036,0.0138995731096151,1.0,0.0019249916,0.011974581501949084,0.011974581501949084,2026-03-11,0.04522014,0.04607398
135,SH601006,0.0128381612960207,1.0,-0.012587428,0.025425589388977245,0.025425589388977245,2026-03-11,1.2404996,1.2436782
136,SH600027,0.0110540912366263,1.0,-0.016129017,0.027183108112847004,0.027183108112847004,2026-03-11,1.3973109,1.406508
137,SZ003816,0.0109492679820782,1.0,-0.009784758,0.020734026073051103,0.020734026073051103,2026-03-11,0.46257144,0.46303925
138,SH601898,0.0101375015488195,1.0,-0.027954698,0.03809219915776725,0.03809219915776725,2026-03-11,0.084003896,0.08577195
139,SZ002938,0.0089965088644688,1.0,-0.022927403,0.03192391231448101,0.03192391231448101,2026-03-11,0.12929188,0.12929295
140,SZ300498,0.007927484797104,1.0,-0.0063224435,0.01424992828236401,0.01424992828236401,2026-03-11,0.026854403,0.027096584
141,SH603799,0.0075870561622692,1.0,-0.009958327,0.017545382978828038,0.017545382978828038,2026-03-11,9.364142,9.593803
142,SZ300832,0.007542343675411,1.0,-0.022375226,0.029917569696223986,0.029917569696223986,2026-03-11,0.11113504,0.112228766
143,SH600160,0.0069111925742229,1.0,-0.023455083,0.030366275944431642,0.030366275944431642,2026-03-11,29.317987,29.650736
144,SZ301236,0.0055218335760202,1.0,-0.031264424,0.036786257900055845,0.036786257900055845,2026-03-11,0.06754313,0.06713241
145,SH600023,0.0053589071680438,1.0,-0.014159262,0.01951816934837217,0.01951816934837217,2026-03-11,0.2866042,0.28812596
146,SH600104,0.0046122645925316,1.0,0.01600051,-0.011388244669553361,0.011388244669553361,2026-03-11,8.909687,9.095812
147,SH600460,0.0046062716094444,1.0,-0.015173793,0.019780064448494693,0.019780064448494693,2026-03-11,14.512423,14.587444
148,SH600031,0.0040214610786415,1.0,-0.010226965,0.014248426029203023,0.014248426029203023,2026-03-11,136.41716,137.55894
149,SZ300750,0.0038463612330191,1.0,0.0037939548,5.240638377593601e-05,5.240638377593601e-05,2026-03-11,1.1118783,1.1357491
150,SH601888,0.0035676166562786,1.0,-0.0061418414,0.009709458067869176,0.009709458067869176,2026-03-11,1.358658,1.3670254
151,SH601186,0.0031062233706494,1.0,0.0128088,-0.009702576373002944,0.009702576373002944,2026-03-11,0.11899156,0.12171699
152,SH688981,0.0029990721082495,1.0,0.009904742,-0.006905670132656262,0.006905670132656262,2026-03-11,0.015418009,0.015682707
153,SZ300896,0.0026735144919841,1.0,0.0031040907,-0.00043057619862869314,0.00043057619862869314,2026-03-11,0.008670834,0.008783424
154,SH600845,0.0017576322911821,1.0,-0.046227634,0.047985266244276584,0.047985266244276584,2026-03-11,37.887726,37.664135
155,SH601136,0.0015362364373161,1.0,-0.0072182417,0.008754478128905455,0.008754478128905455,2026-03-11,0.17813946,0.17820434
156,SH600011,0.0009403383396006,1.0,-0.0038378239,0.004778162207398452,0.004778162207398452,2026-03-11,1.1855198,1.2034991
157,SZ000977,3.1820687165977884e-05,1.0,-0.023852348,0.023884169014802697,0.023884169014802697,2026-03-11,3.1813092,3.1918786
