datetime,instrument,score,exp_name,rid,real_label,error,abs_error
2026-03-10,SZ000661,-0.038556898394754874,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH688981,-0.10308830490080369,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH688506,-0.06756956787797655,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH688472,0.0070370073834262374,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH688396,0.08000721965248477,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603893,-0.12289450191859845,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603799,0.07584926261779297,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603501,-0.1311436602708575,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603392,-0.06059016406711231,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603369,-0.10132766802066427,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603296,-0.033894482488077866,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603288,0.03122014052196344,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603260,-0.12446392801325647,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603259,0.003626774764681209,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603195,0.08642337045792134,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
2026-03-10,SH603019,-0.13638756683164838,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260310_15,92df2fcc690a45b78449f3753112e83d,,,
