,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ301236,0.16744302709591058,0.6818181818181818,0.0757792,-0.07994590746238828,0.07994590746238828,,,2026-04-21,-0.02780488,0.0397561,-0.6993865,0.007317126,0.1840504,0.0046340954,0.11656313,-0.03048791,-0.7668738,1.0286001,1.0361265,0.99523336,1.0030634,0.98873705,0.9240022,0.9661017,1.220011,1.2922909,1.0033243,0.9902242,0.9675998,1.0162821,1.112885,0.018277802,0.019514032,0.03057784,0.08747942,0.119998366,0.007195179,0.0050048875,0.003291992,-0.006469322,-0.0061177677,0.38741398,0.6029844,0.4056691,0.42384538,0.7927479,-0.017714605,-0.012746187,0.0011262709,0.07752303,0.06758913,1.0604994,1.0604994,1.0604994,1.2323114,1.3773112,0.9742124,0.95080405,0.91475856,0.91475856,0.91475856,1.0137999,1.0028431,0.9909896,1.1238054,1.2073702,0.9954948,0.97299075,0.93819577,0.9535703,0.97299075,0.4,0.7,0.85,0.6333333,0.31666666,0.2988581,0.44847798,0.5848835,0.26843223,0.18428479,0.8,0.9,0.95,0.033333335,0.1,0.2,0.1,0.45,0.6333333,0.81666666,0.6,0.8,0.5,-0.6,-0.71666664,0.9727727,0.7282971,0.7348739,0.3548032,0.5563137,0.92966837,0.9557513,0.8188392,0.17474614,0.33774522,0.6,0.7,0.6,0.43333334,0.41666666,0.4,0.3,0.4,0.56666666,0.5833333,0.2,0.4,0.2,-0.13333334,-0.16666667,0.5628813,0.69599557,0.5481068,0.32821032,0.38824317,0.43711874,0.30400443,0.45189324,0.6717897,0.61175686,0.12576254,0.39199117,0.09621352,-0.34357938,-0.22351368,1.1444867,1.0467938,0.95057124,1.0672191,1.2578647,0.26174417,0.27327314,0.24247617,0.36577886,0.4875657,0.45179495,1.1343799,1.0809666,1.2852931,1.168661,0.56952506,0.5751854,0.44824603,0.41462356,0.47044918,0.43047494,0.42481455,0.55175394,0.58537644,0.52955085,0.13905014,0.15037088,-0.103507936,-0.17075287,-0.059101645
1,SH688223,0.14662539859177798,0.6363636363636364,-0.01547116,-0.05835334211587906,0.05835334211587906,SH688223,晶科能源,2026-04-21,-0.011510793,0.03309354,-0.34782597,0.0143885575,0.43478444,0.007194191,0.21738958,-0.01870516,-0.56522083,1.0116448,1.0262009,0.99272203,1.0028572,0.96483827,0.9029536,1.0942335,1.0829817,0.86779183,1.0073136,0.9825598,1.000211,1.0417721,1.0419598,0.023332134,0.031625245,0.06537362,0.0874785,0.103888266,0.00225035,0.008166049,-0.0049501406,-0.0076418724,3.024737e-05,0.023255799,0.61117774,0.2006772,0.59142345,2.5854857e-05,-0.011814361,-0.019307012,0.046815336,0.069034964,-0.042852014,1.0408369,1.0408369,1.1760705,1.2805253,1.4063777,0.9572265,0.924091,0.8942154,0.8942154,0.80046475,1.0168777,1.0112518,1.0438819,1.111955,1.1265823,0.9949367,0.96202534,0.950211,0.96483827,0.96483827,0.4,0.7,0.6,0.4,0.36666667,0.51158077,0.650207,0.37531564,0.2738335,0.32931343,0.4,0.7,0.1,0.06666667,0.26666668,0.2,0.1,0.5,0.6666667,0.06666667,0.2,0.6,-0.4,-0.6,0.2,0.69709814,0.5547292,0.7608541,0.7942998,0.6773672,0.94691765,0.9717705,0.45504838,0.58181894,0.67605674,0.4,0.5,0.4,0.4,0.41666666,0.4,0.4,0.5,0.53333336,0.53333336,0.0,0.1,-0.1,-0.13333334,-0.11666667,0.6543209,0.70175433,0.43035337,0.4612352,0.5285194,0.34567907,0.29824564,0.5696466,0.5387648,0.47148058,0.30864182,0.40350872,-0.13929322,-0.07752958,0.05703884,1.4700512,1.3697937,1.6850109,2.1004932,2.3628356,0.4688898,0.37997672,0.6493717,0.935094,1.1453525,1.4141008,1.2272509,0.9267171,1.0672818,1.6480397,0.4904372,0.5072829,0.34210107,0.4702964,0.4945856,0.5095628,0.49271712,0.6578989,0.5297036,0.50541437,-0.019125609,0.014565791,-0.31579784,-0.05940718,-0.010828772
2,SZ300274,0.10202727594746862,0.5,0.0049916506,-0.06806578487157822,0.06806578487157822,,,2026-04-21,0.0017648964,0.025148956,0.07017772,0.003970893,0.15789494,0.019413168,0.77192736,0.01720717,0.6842101,0.9982382,1.003964,0.97885925,0.9932745,1.0237105,0.89759606,1.2371714,1.1436524,1.255158,0.986521,0.97426975,1.028964,1.0992029,1.1117737,0.009864195,0.033290353,0.11260661,0.13805129,0.103235185,0.004390137,0.0073927166,-0.012687216,-0.013035173,-0.0026796113,0.49519104,0.45204613,0.44429657,0.6909623,0.20548871,0.004698739,-0.007536957,0.09156456,0.089807086,-0.032725215,1.0228263,1.0432361,1.2625706,1.3359017,1.3359017,0.9642502,0.90141207,0.89363223,0.89363223,0.89363223,0.99395025,0.99395025,1.1623712,1.228599,1.2094527,0.9811467,0.9544877,0.93369603,0.97157437,0.99848753,1.0,0.9,0.65,0.43333334,0.21666667,0.6103134,0.6951422,0.28830767,0.24050438,0.24050438,0.2,0.5,0.15,0.13333334,0.56666666,0.8,0.2,0.5,0.6666667,0.8333333,-0.6,0.3,-0.35,-0.53333336,-0.26666668,-0.54284614,0.20580235,-0.16710475,0.1237904,0.042590883,0.13902916,0.75360954,-0.11493297,0.2511425,0.24081315,0.6,0.7,0.4,0.46666667,0.46666667,0.4,0.3,0.6,0.53333336,0.53333336,0.2,0.4,-0.2,-0.06666667,-0.06666667,0.34184045,0.7065348,0.30956987,0.42384848,0.42622438,0.65815955,0.2934652,0.6904301,0.57615155,0.57377565,-0.31631908,0.4130696,-0.38086024,-0.15230305,-0.14755125,1.3074437,1.4954756,1.5304004,1.5982928,1.3741556,0.27030838,0.36695513,0.5334307,0.53999615,0.49598324,1.2433236,0.83982307,1.3425016,1.3378813,1.3455563,0.0151695125,0.49872,0.44697097,0.47956905,0.49167085,0.9848305,0.50128,0.553029,0.520431,0.50832915,-0.969661,-0.0025599976,-0.10605805,-0.04086191,-0.016658299
3,SZ300418,0.10180235093820471,1.0,-0.012014151,0.036741454154253006,0.036741454154253006,,,2026-04-21,-0.031060347,0.06247765,-0.49714333,0.0278472,0.44571462,0.0035701003,0.05714204,-0.055337448,-0.8857159,1.032056,1.0607959,0.9963155,1.024201,0.936789,0.86993724,0.9198599,1.013607,1.0272595,0.97003734,0.9520525,0.92982394,0.93999124,0.9880981,0.035537668,0.032905966,0.03912768,0.043270126,0.070736334,0.02122508,0.0071715596,0.0034456647,-0.00054813526,-0.0022770779,0.8917865,0.43540096,0.27142245,0.012436577,0.3160607,-0.012487501,0.015675528,0.037442274,0.06795672,0.07907571,1.0607959,1.0607959,1.0607959,1.0642973,1.2146213,0.91247594,0.90125597,0.8498499,0.8498499,0.8498499,1.0010285,0.9755348,0.95976156,0.9794303,1.0420406,0.9501411,0.9210886,0.9003095,0.91377085,0.92842454,0.8,0.9,0.95,0.9,0.6166667,0.59010303,0.61893,0.7117941,0.7001721,0.41162798,1.0,1.0,1.0,0.033333335,0.31666666,0.2,0.1,0.45,0.6333333,0.81666666,0.8,0.9,0.55,-0.6,-0.5,0.7046031,0.76872873,0.57431716,0.6381815,0.8111543,0.61813027,0.86683,0.68781894,0.6895922,0.64312863,0.6,0.5,0.45,0.43333334,0.46666667,0.4,0.5,0.55,0.56666666,0.53333336,0.2,0.0,-0.1,-0.13333334,-0.06666667,0.7808327,0.734724,0.5730038,0.4925832,0.4937642,0.21916729,0.265276,0.42699614,0.5074168,0.50623584,0.5616654,0.469448,0.1460077,-0.014833612,-0.012471634,0.73915786,0.6728098,0.64836675,0.69508266,0.93313634,0.21477562,0.22597793,0.18692914,0.27127707,0.41214693,0.84852886,1.364692,1.1472532,1.211323,1.0986774,0.68783987,0.6094199,0.5152297,0.5094446,0.47458616,0.31216013,0.3905801,0.48477033,0.4905554,0.5254138,0.3756797,0.21883981,0.030459357,0.018889211,-0.05082767
4,SH688303,0.09349903962344278,0.8181818181818182,0.0031092167,0.025072209537029266,0.025072209537029266,SH688303,大全能源,2026-04-21,-0.032096706,0.0725302,-0.44252884,0.03501455,0.48275822,0.005418943,0.07471292,-0.061692312,-0.85057414,1.033161,1.0693368,0.99440134,1.027324,0.9475321,0.87368834,0.9463661,1.0073844,1.0963856,0.97520405,0.9465216,0.92973185,0.9500713,0.9990737,0.025912307,0.04275252,0.039222002,0.046646178,0.065717064,0.01430238,0.0126394145,0.0030069337,-0.0021712598,-0.0031519854,0.7616307,0.8012019,0.20571041,0.16791643,0.70163614,-0.0038087915,-0.0033989293,0.0417023,0.08141202,0.09390986,1.0693368,1.0693368,1.0693368,1.0693368,1.1576139,0.93894976,0.8765031,0.8624927,0.8624927,0.8624927,1.0004663,0.9782355,0.9594248,0.99782354,1.0478818,0.95476097,0.89895064,0.8944423,0.903459,0.94279045,0.8,0.9,0.95,0.8333333,0.46666667,0.46822336,0.64043236,0.6647874,0.6647874,0.4659351,1.0,1.0,1.0,1.0,0.083333336,0.2,0.2,0.5,0.6666667,0.8333333,0.8,0.8,0.5,0.33333334,-0.75,0.98168564,0.8507224,0.82410747,0.5405621,0.42516777,0.8655339,0.9546274,0.8770646,0.79034644,0.631552,0.4,0.5,0.45,0.43333334,0.45,0.6,0.5,0.55,0.56666666,0.55,-0.2,0.0,-0.1,-0.13333334,-0.1,0.77327895,0.7543035,0.5735608,0.4924782,0.45981854,0.22672103,0.24569649,0.42643926,0.5075218,0.54018146,0.54655796,0.50860703,0.1471215,-0.015043589,-0.08036293,0.6825761,0.6407304,0.52246946,0.51642925,0.5317761,0.245683,0.28849667,0.23978718,0.20826128,0.23008725,1.1395711,1.3080876,1.6035206,1.5860662,1.5866892,0.58242583,0.63657594,0.54231054,0.5474988,0.51845866,0.4175742,0.3634241,0.45768946,0.45250118,0.48154137,0.1648516,0.27315184,0.084621094,0.09499763,0.03691728
5,SH601877,0.08971839155637552,0.6363636363636364,0.0046132803,0.015366347506642342,0.015366347506642342,SH601877,正泰电器,2026-04-21,-0.01903904,0.026594166,-0.71591043,0.0,0.0,0.0075551253,0.28408957,-0.011483915,-0.43182084,1.0194086,1.0194086,0.99229825,1.0020865,1.0327541,0.96924496,1.0699676,1.203137,0.9304936,1.0214362,1.0213133,1.0216515,1.0619817,1.0209442,0.023896247,0.017912477,0.033137843,0.079447225,0.081065185,-0.012978625,-0.0007623552,-0.0019202243,-0.0068683275,0.0016756324,0.7374592,0.016604083,0.11752318,0.57922363,0.13031328,0.0045209797,-0.01788266,-0.0034094322,0.03760909,-0.07037535,1.0644431,1.0644431,1.1142988,1.2979132,1.2979132,0.99229825,0.9858155,0.95230013,0.95230013,0.88202286,1.0360756,1.0328157,1.0478857,1.0895895,1.0703982,1.0014763,1.0067661,1.0014763,1.0075657,0.96057206,0.2,0.1,0.2,0.13333334,0.45,0.10675409,0.18040092,0.294446,0.1380152,0.28367364,0.2,0.6,0.1,0.06666667,0.53333336,1.0,0.1,0.5,0.6666667,0.16666667,-0.8,0.5,-0.4,-0.6,0.36666667,0.5231477,0.3025809,0.675411,0.8386307,0.7262779,0.3026535,0.60206354,0.5081459,0.2742113,0.43569154,0.4,0.6,0.5,0.46666667,0.51666665,0.6,0.4,0.5,0.53333336,0.48333332,-0.2,0.2,0.0,-0.06666667,0.033333335,0.3551022,0.5783698,0.403968,0.35823137,0.5248625,0.64489776,0.42163017,0.596032,0.64176863,0.4751375,-0.28979555,0.15673962,-0.19206399,-0.28353727,0.049725004,1.4880425,1.2807072,1.2561774,1.7318306,1.6046234,0.37245765,0.35085422,0.36929214,0.90279067,0.78988045,0.4666664,0.70343626,0.6804838,1.1817007,1.4066914,0.47526237,0.54399955,0.37394598,0.39894164,0.46595523,0.52473766,0.45600048,0.62605405,0.60105836,0.53404474,-0.049475264,0.08799906,-0.25210804,-0.20211674,-0.068089515
6,SZ300896,0.08071376101079382,0.8636363636363636,0.0039491653,0.06839752942323685,0.06839752942323685,,,2026-04-21,-0.007905457,0.02197892,-0.35968357,0.008947953,0.4071152,0.0051255114,0.23320124,-0.011727897,-0.5335975,1.0079684,1.0169877,0.99483365,1.0011091,1.0196142,0.99071944,1.0570986,1.214737,1.2811822,1.007306,1.007668,1.020108,1.0836548,1.1727259,0.0061753145,0.01017809,0.025688132,0.10060625,0.117461294,-0.0034423724,-0.0005927762,-0.0030827418,-0.009981149,-0.0058208588,0.77685064,0.03109284,0.5040542,0.7628039,0.74900436,-0.0004212419,-0.005000501,0.009178108,0.061071917,-0.0010105926,1.0357234,1.0357234,1.0768036,1.2675147,1.3905693,0.99412894,0.9895943,0.98336166,0.98336166,0.98336166,1.0134865,1.0150069,1.0410913,1.2296913,1.2665964,1.0024484,0.99935496,0.99935496,1.005588,1.0235372,0.2,0.3,0.25,0.16666667,0.083333336,0.14114945,0.22557716,0.1780607,0.058554113,0.040859565,0.2,0.6,0.05,0.06666667,0.23333333,0.6,0.4,0.45,0.6333333,0.81666666,-0.4,0.2,-0.4,-0.56666666,-0.5833333,0.6130881,0.6641852,0.26314595,-0.0019198933,0.45169035,-0.7799461,0.7814723,0.20973136,-0.13313845,0.07670096,0.4,0.5,0.45,0.43333334,0.4,0.6,0.5,0.55,0.56666666,0.6,-0.2,0.0,-0.1,-0.13333334,-0.2,0.13480352,0.5331141,0.41215184,0.31873995,0.38176686,0.86519647,0.46688592,0.5878482,0.68126005,0.61823314,-0.73039293,0.066228166,-0.17569631,-0.36252013,-0.23646629,1.1276402,1.1953908,1.2277888,1.3109641,1.6512567,0.1680911,0.19586156,0.28877947,0.4986528,0.8319669,0.73738396,0.93417096,0.9353181,1.5275493,1.3895837,0.076917514,0.5626508,0.40760848,0.49442315,0.483152,0.9230825,0.43734923,0.5923915,0.50557685,0.51684797,-0.84616494,0.12530157,-0.18478303,-0.011153683,-0.03369598
7,SZ301269,0.0787734432316956,0.45454545454545453,0.019918442,-0.05952971428632736,0.05952971428632736,,,2026-04-21,-0.02285715,0.03131425,-0.7299281,0.0,0.0,0.008457101,0.27007195,-0.014400049,-0.4598561,1.0233918,1.0233918,0.99134505,1.0010643,1.0100174,0.9610949,0.9499126,1.118812,1.3754222,1.0044962,0.99926615,0.9816424,1.0102155,1.108309,0.012311497,0.012164821,0.02117055,0.055544928,0.12138279,0.0035992942,0.0022964675,0.0027475795,-0.0036882237,-0.0063495478,0.21367466,0.32667857,0.5895278,0.34170187,0.83458614,-0.011694807,-0.009600258,-0.0077444003,0.043263756,0.07900259,1.0481989,1.0481989,1.0481989,1.1424726,1.413091,0.9776446,0.9708123,0.9380469,0.9380469,0.9380469,1.00841,1.005265,0.9998136,1.0533255,1.1972045,0.9967851,0.9881887,0.9628888,0.963145,0.9866279,0.6,0.7,0.85,0.6,0.3,0.3168535,0.37716717,0.56243277,0.30305937,0.13041557,0.8,0.9,0.95,0.033333335,0.05,0.6,0.4,0.45,0.6333333,0.81666666,0.2,0.5,0.5,-0.6,-0.76666665,0.9669372,0.88064075,0.85163426,-0.05126858,0.54900205,0.955773,0.9502327,0.6982617,-0.050749205,0.044012982,0.4,0.5,0.5,0.43333334,0.41666666,0.6,0.5,0.5,0.56666666,0.5833333,-0.2,0.0,0.0,-0.13333334,-0.16666667,0.42880806,0.6280678,0.58378804,0.3922231,0.3408395,0.57119197,0.3719322,0.41621193,0.6077769,0.6591605,-0.14238389,0.25613558,0.16757612,-0.21555379,-0.31832096,1.0654444,1.0230005,0.83209705,0.8367655,0.9865683,0.24808371,0.22394097,0.26461202,0.30505705,0.41145208,0.7823201,0.9308618,0.90194863,1.1755974,1.1141943,0.45319936,0.5497177,0.4790932,0.5061141,0.47691596,0.5468007,0.45028228,0.5209068,0.49388584,0.52308404,-0.093601294,0.09943547,-0.041813593,0.012228298,-0.046168063
8,SZ300759,0.07623500193951084,0.8636363636363636,0.011974335,-0.0650838129222393,0.0650838129222393,,,2026-04-21,-0.016350528,0.029104006,-0.5617965,0.009483357,0.3258437,0.0032701206,0.11235981,-0.022563765,-0.7752804,1.0166223,1.0262634,0.99667555,1.004982,1.0431931,1.0005702,0.83435494,0.9012116,1.0617249,1.0227797,1.023692,0.9769993,0.95300066,0.9695652,0.018646866,0.01542909,0.06855598,0.067677334,0.05946932,-0.0107483845,-0.0007395418,0.009542923,0.005758802,-0.00062132586,0.8306434,0.021059897,0.6781726,0.5611507,0.033292986,-0.0012829464,-0.020364113,-0.06765702,-0.036503308,0.048763927,1.0667461,1.0674561,1.0674561,1.0674561,1.0674561,0.99667555,0.99559003,0.83965456,0.82704186,0.82704186,1.0410833,1.0410264,1.0224662,1.0171632,1.0198146,1.0103778,1.0124875,0.88732713,0.88732713,0.90280825,0.2,0.1,0.4,0.6,0.55,0.04744469,0.06136369,0.70388204,0.7194171,0.7194171,0.2,0.3,0.65,0.76666665,0.8833333,1.0,0.1,0.2,0.33333334,0.6666667,-0.8,0.2,0.45,0.43333334,0.21666667,0.6273142,0.33740437,0.60343313,0.6475969,0.33083993,-0.5888831,0.06216307,0.5263921,0.43208656,0.3172116,0.4,0.6,0.7,0.6,0.46666667,0.6,0.4,0.3,0.4,0.53333336,-0.2,0.2,0.4,0.2,-0.06666667,0.12219515,0.49779257,0.72554356,0.590211,0.4688085,0.8778049,0.5022074,0.27445644,0.40978903,0.53119147,-0.7556097,-0.004414856,0.45108712,0.18042195,-0.062382974,1.5399494,1.763529,1.8257004,1.595101,1.2880944,0.56745535,0.52850443,0.8278153,0.82312053,0.6690816,1.2397618,0.79062355,1.7228783,1.6708763,1.7546346,0.37552494,0.37067327,0.49194783,0.50649464,0.49010825,0.62447506,0.62932676,0.5080522,0.4935054,0.50989175,-0.2489501,-0.2586535,-0.016104314,0.012989246,-0.019783475
9,SH600438,0.06345586433107797,0.7272727272727273,0.012624264,,,SH600438,通威股份,2026-04-21,-0.0010952721,0.032311033,-0.033897776,0.029025216,0.89830667,0.0021905443,0.06779555,-0.027929943,-0.8644089,1.0010965,1.0301535,0.997807,1.0088853,0.9660182,0.8574579,0.9835711,,1.0975789,0.97610027,0.94803286,0.92914397,0.95758456,0.98853695,0.02258242,0.043216247,0.042876743,0.057882167,0.060872585,0.013428453,0.012784651,0.0030767575,-0.0032945503,-0.0022534102,0.88399756,0.80222297,0.18022335,0.23487714,0.4955836,-0.002957195,-0.0055637914,0.04162683,0.08853914,0.0761359,1.0301535,1.0301535,1.0301535,1.0893552,1.1239214,0.9479289,0.8640471,0.84923416,0.84923416,0.84923416,1.0,0.97281456,0.96459144,1.0080242,1.0353221,0.9616343,0.8979248,0.89220923,0.90307826,0.92849976,0.9,0.95,0.975,0.7413793,0.51,0.6332787,0.8184687,0.83333176,0.6278744,0.5488637,1.0,1.0,1.0,0.033333335,0.36666667,0.2,0.1,0.5,0.033333335,0.36666667,0.8,0.9,0.5,0.0,0.0,0.79658914,0.6970015,0.70672816,0.7623205,0.67352194,0.9758088,0.96702486,0.6613089,0.638972,0.5851202,0.6,0.7,0.55,0.43333334,0.35,0.2,0.2,0.4,0.46666667,0.45,0.4,0.5,0.15,-0.033333335,-0.1,0.7626998,0.8316232,0.521041,0.48168972,0.44682845,0.23730019,0.16837682,0.47895902,0.51831025,0.5531716,0.5253996,0.6632464,0.042081926,-0.03662055,-0.106343105,0.92689925,0.9716204,0.8186369,0.9813893,1.0339495,0.30838424,0.4902206,0.40974826,0.54389966,0.5181319,1.3643959,1.6404799,1.6090688,1.4455707,1.3335191,0.42099935,0.5610554,0.49358103,0.43869153,0.45681673,0.57900065,0.43894458,0.506419,0.56130844,0.54318327,-0.15800127,0.12211082,-0.0128379585,-0.12261694,-0.08636655
