,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SH601985,0.06497431207863455,1.0,,,,SH601985,中国核电,2026-07-30,0.012276868,0.015625002,0.7857195,0.0011160789,0.071429044,0.0022320542,0.14285146,0.013392843,0.8571419,0.987872,1.0011026,0.98566705,0.996354,1.0017605,0.959507,0.95334506,1.0061619,0.965669,0.98397887,0.98794013,0.97411966,0.972946,0.9771273,0.010197604,0.01214838,0.016834484,0.015375949,0.018242028,0.005017611,0.00019739478,0.002172245,0.00070970913,-6.0682934e-05,0.60525405,0.002420171,0.58275497,0.16511199,0.0033751014,0.005985934,0.01117161,0.005243987,0.01676324,0.02466283,1.0026705,1.0083935,1.0083935,1.0170921,1.0170921,0.9676375,0.96147186,0.94164133,0.94164133,0.9373696,0.9901408,1.0,0.990845,0.98697174,0.9991197,0.97605634,0.97605634,0.95862675,0.95862675,0.95862675,1.0,0.8,0.9,0.93333334,0.8666667,0.9237725,0.8211157,0.874258,0.7734666,0.7856047,0.2,0.3,0.65,0.033333335,0.51666665,0.6,0.1,0.15,0.43333334,0.2,-0.4,0.2,0.5,-0.4,0.31666666,0.97685647,0.33978522,0.4111378,0.25399214,0.4298031,0.8662762,0.45845905,0.35189754,0.08366671,0.20053706,0.4,0.6,0.55,0.43333334,0.5,0.6,0.4,0.35,0.5,0.43333334,-0.2,0.2,0.2,-0.06666667,0.06666667,0.4827594,0.6742425,0.63316596,0.48948953,0.5294118,0.51724064,0.32575747,0.36683404,0.5105105,0.4705882,-0.03448124,0.34848505,0.26633188,-0.021020973,0.05882361,0.801515,1.0215913,0.9342929,1.0110103,1.1350641,0.1236156,0.34987634,0.26622415,0.26688382,0.32382092,0.733706,1.0545675,1.1852347,1.0261722,1.0045888,0.8463442,0.5540147,0.50198966,0.4878424,0.4915872,0.15365581,0.44598532,0.49801037,0.51215756,0.5084128,0.6926884,0.10802936,0.0039792806,-0.024315173,-0.016825605,1.5975154593641088
1,SH601838,0.06446986901654456,1.0,,,,SH601838,成都银行,2026-07-30,0.012994102,0.019491022,0.66667116,0.0032484601,0.16666444,0.0032484601,0.16666444,0.012994102,0.66667116,0.9871726,1.0032068,0.9839658,0.9975722,0.99354607,0.9774112,0.93474364,0.9781284,0.9752599,0.9860882,0.9845464,0.97246325,0.9562089,0.9609179,0.009638966,0.009717637,0.016787603,0.028824221,0.026870891,0.0042667654,0.0014537663,0.0024138892,0.0027581747,0.00032382217,0.48986533,0.20515366,0.7236445,0.7096269,0.044294406,0.00537827,0.008911629,0.0046048285,0.0037975751,0.02952938,1.0032068,1.0032068,1.0032068,1.0032068,1.0243562,0.96776485,0.96163017,0.923407,0.88986576,0.88986576,0.9902474,0.99067765,0.98780924,0.9840086,0.98235923,0.981427,0.9748296,0.9591968,0.9311581,0.93682325,1.0,1.0,1.0,1.0,0.93333334,0.9095199,0.92287034,0.95981455,0.9717067,0.8188997,1.0,1.0,1.0,1.0,0.45,0.4,0.4,0.05,0.23333333,0.6166667,0.6,0.6,0.95,0.76666665,-0.16666667,-0.37007093,-0.5759313,0.046910305,-0.06957064,0.2750738,-0.5659554,-0.5084196,-0.04659509,-0.01496586,0.12459404,0.6,0.6,0.6,0.56666666,0.48333332,0.4,0.4,0.4,0.43333334,0.51666665,0.2,0.2,0.2,0.13333334,-0.033333335,0.5681822,0.60606086,0.66605824,0.53090173,0.51888347,0.4318178,0.39393914,0.33394173,0.4690983,0.48111653,0.13636439,0.21212175,0.33211654,0.061803423,0.03776694,0.9573206,1.0563953,1.0416912,1.0674627,1.0990599,0.21121271,0.2389775,0.23878211,0.21814846,0.25841278,0.54116637,0.74599606,0.9090114,0.90603346,0.9088906,0.5922556,0.5292607,0.4947174,0.50953275,0.48832935,0.40774438,0.4707393,0.50528264,0.49046722,0.51167065,0.18451123,0.058521394,-0.010565243,0.019065535,-0.023341289,1.5675419638765098
2,SH600919,0.05919160040588868,1.0,,,,SH600919,江苏银行,2026-07-30,0.01896551,0.020689638,0.9166671,0.0008620637,0.041666448,0.0008620637,0.041666448,0.01896551,0.9166671,0.9813875,1.000846,0.98054147,0.99222773,0.97621405,0.9519326,0.9326066,0.9558969,0.9326066,0.98235875,0.97408324,0.96075326,0.94819957,0.94472253,0.010746471,0.012747874,0.018197076,0.0244241,0.02204984,0.005450941,0.0035228336,0.0027943992,0.0024235714,0.00067138183,0.6432077,0.7000357,0.8253567,0.76309067,0.28276655,0.006739343,0.010063976,0.01269997,0.01665866,0.035471722,1.000846,1.000846,1.000846,1.000846,1.000846,0.9653364,0.94571143,0.91174936,0.8909725,0.8909725,0.9865213,0.97958374,0.9767096,0.97175425,0.96679884,0.97720516,0.9630328,0.94618434,0.92695737,0.92576814,1.0,1.0,1.0,1.0,1.0,0.97617495,0.9846554,0.9905045,0.9923001,0.9923001,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.05,0.26666668,0.6333333,0.6,0.6,0.95,0.73333335,0.36666667,0.40502653,-0.19806448,0.041115306,-0.30821624,0.13429381,-0.23848827,-0.07504462,0.013262305,-0.062812425,0.14211395,0.8,0.8,0.7,0.6,0.55,0.2,0.2,0.3,0.4,0.43333334,0.6,0.6,0.4,0.2,0.11666667,0.80769366,0.7539274,0.67801064,0.56814706,0.5600707,0.19230631,0.2460726,0.32198936,0.43185294,0.4399293,0.6153874,0.5078548,0.3560213,0.13629414,0.1201414,0.925725,1.031304,1.0183817,1.0685583,1.0130262,0.21161179,0.21406344,0.19791533,0.18208255,0.19480693,0.7635355,0.67785656,0.6668606,0.77491486,0.8053592,0.44642672,0.47639996,0.46922058,0.50412244,0.48330656,0.5535733,0.52360004,0.5307794,0.49587756,0.5166935,-0.10714658,-0.0472001,-0.061558858,0.008244878,-0.033386905,1.4108990991428616
