,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SH603296,0.05412304165307393,0.8695652173913043,,,,SH603296,华勤技术,2026-04-14,-0.02894397,0.035562582,-0.8138883,0.002568414,0.072222374,0.0040501985,0.11388932,-0.027462186,-0.7722214,1.0298067,1.0324516,0.9958291,1.005799,0.9787806,0.8371764,0.9063516,0.90995896,0.9806196,1.0036781,0.9540812,0.91768634,0.9096878,0.9088178,0.008388466,0.06571448,0.061756264,0.052736696,0.04990826,0.0023058471,0.019617023,0.0075813932,0.0034818563,9.933056e-05,0.18890171,0.81687486,0.5274776,0.33782947,0.0012081496,-0.008289724,-0.042357802,0.0102904,0.03982526,0.08825192,1.0373698,1.0373698,1.0373698,1.0373698,1.0373698,0.9663947,0.8112427,0.8112427,0.8112427,0.8112427,1.0088698,1.0055312,0.99337953,0.93996316,0.94498515,0.9983449,0.9051351,0.8720187,0.87636155,0.8659499,0.4,0.7,0.85,0.9,0.95,0.47347984,0.8347397,0.8347397,0.8347397,0.8347397,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.1,0.55,0.7,0.85,0.4,0.7,0.35,0.23333333,0.11666667,0.20251815,0.2586268,0.43501636,0.4568642,0.5109266,0.33305854,0.85711235,0.5754648,0.50589484,0.5211802,0.6,0.7,0.5,0.5,0.43333334,0.4,0.3,0.5,0.5,0.56666666,0.2,0.4,0.0,0.0,-0.13333334,0.69480497,0.83892816,0.5885027,0.56327665,0.50855184,0.30519503,0.16107184,0.4114973,0.43672332,0.4914482,0.38960996,0.6778563,0.17700541,0.12655334,0.017103612,1.2354149,1.3536005,1.1128247,0.973622,0.90695965,0.13351937,0.39900956,0.44087458,0.41993514,0.3504779,0.502169,1.3023783,1.1615618,1.2326279,1.3030013,0.043406688,0.48169765,0.5413821,0.51057136,0.50494385,0.95659333,0.5183024,0.45861793,0.48942864,0.49505612,-0.9131866,-0.036604732,0.08276414,0.021142727,0.009887745,2.624096544846511
1,SH601633,0.03034495575066251,0.9565217391304348,,,,SH601633,长城汽车,2026-04-14,-0.01118886,0.018181773,-0.6153888,0.0018647547,0.102561764,0.0051281587,0.28204942,-0.007925456,-0.43590117,1.0113155,1.0132014,0.9948138,1.0002971,0.97648734,0.957606,0.99726874,0.962831,1.0434628,0.9953212,0.98617744,0.98535806,0.9768911,0.9872165,0.012377903,0.013057803,0.012557179,0.019960469,0.024081321,0.0049875285,0.0035366123,0.0001667865,0.0014076782,-0.00062344625,0.40589783,0.6724285,0.0061745546,0.38544908,0.20442653,-0.0052962843,-0.0020921768,0.013057485,0.00269755,0.031175172,1.0160836,1.0160836,1.0160836,1.0160836,1.051879,0.9741264,0.9547707,0.9547707,0.93021345,0.93021345,1.003705,1.00057,0.997435,0.9941337,1.0030401,0.9876974,0.97544235,0.9763924,0.956466,0.97088236,0.6,0.8,0.85,0.9,0.76666665,0.61666745,0.7376807,0.7376807,0.81269914,0.57359296,0.8,0.9,0.95,0.96666664,0.033333335,0.4,0.1,0.55,0.06666667,0.53333336,0.4,0.8,0.4,0.9,-0.5,0.6772665,0.59742516,0.42223954,0.3819373,0.25842407,0.91984737,0.86195445,0.44610018,0.469992,0.393716,0.6,0.6,0.45,0.53333336,0.45,0.4,0.4,0.55,0.46666667,0.55,0.2,0.2,-0.1,0.06666667,-0.1,0.67553186,0.71024734,0.50668216,0.5600307,0.4615869,0.32446817,0.28975266,0.49331787,0.43996933,0.5384131,0.35106367,0.42049468,0.013364257,0.120061345,-0.07682622,1.3007854,1.2057732,1.3603184,1.3654583,1.3613081,0.4138039,0.3326795,0.4679836,0.48443758,0.45406023,0.99939907,1.084752,1.022529,0.9929274,0.91998523,0.5336905,0.4614381,0.46350852,0.46628857,0.49323875,0.46630946,0.53856194,0.5364915,0.53371143,0.50676125,0.067381084,-0.07712384,-0.07298298,-0.06742284,-0.013522531,2.5669567256885895
2,SZ000895,0.03733770322005372,0.9130434782608695,,,,,,2026-04-14,-0.0024578988,0.030196626,-0.08139647,0.017556168,0.58139503,0.0101825595,0.3372085,-0.009831507,-0.32558295,1.0024639,1.0200634,0.98979235,1.0051714,0.96867985,1.0003542,1.0031748,0.92925173,0.91165626,0.98796034,0.98880655,0.98665994,0.9786001,0.9474026,0.013000601,0.013454185,0.01559409,0.021000208,0.036197327,0.0073214723,-0.00020062506,4.149954e-06,0.0013265454,0.0018826138,0.7928846,0.002038295,2.4787603e-06,0.30924216,0.825029,-0.002603293,0.012096264,0.013300652,0.0021649871,-0.0029397127,1.0200634,1.0200634,1.0200634,1.0200634,1.0200634,0.95952,0.95952,0.9331247,0.92644083,0.88736534,1.0007033,1.0007033,1.000425,1.0003542,0.98345464,0.97704893,0.97704893,0.9717032,0.95980513,0.9055314,0.8,0.8,0.7,0.76666665,0.8833333,0.6686115,0.6686115,0.7692237,0.7856992,0.84880424,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.35,0.033333335,0.18333334,0.8,0.4,0.65,0.96666664,0.81666666,0.76926416,0.62908334,-0.40107164,-0.01195409,0.05094264,0.99069524,0.45548642,-0.32888973,-0.05335464,0.053087622,0.6,0.4,0.45,0.53333336,0.48333332,0.4,0.6,0.55,0.46666667,0.51666665,0.2,-0.2,-0.1,0.06666667,-0.033333335,0.8677959,0.49843287,0.4930939,0.6091151,0.5916636,0.13220409,0.5015671,0.5069061,0.3908849,0.40833637,0.7355918,-0.0031342676,-0.013812189,0.2182302,0.18332723,0.9764179,0.96966183,1.1076882,1.0771863,1.0270616,0.20825717,0.14548242,0.31883,0.29364225,0.31037197,1.046496,0.80491406,1.1369157,1.1015807,1.1967918,0.56028116,0.39617023,0.4594283,0.51496667,0.5044902,0.43971887,0.60382974,0.5405717,0.48503333,0.49550983,0.12056227,-0.20765951,-0.08114335,0.029933307,0.008980346,2.5557820064564463
3,SH600919,0.03007919122190343,0.9130434782608695,,,,SH600919,江苏银行,2026-04-14,0.0009250642,0.009250761,0.09999871,0.005550504,0.60000515,0.0027751927,0.29999614,-0.0018502475,-0.2000103,0.9990758,1.0055454,0.99630314,1.0006802,0.9972376,0.9988951,1.0093924,0.9646409,0.9314918,0.99988955,1.0010498,0.9993371,0.9923389,0.9644752,0.0034591048,0.0042751785,0.010263694,0.015220438,0.034808237,-0.0011049832,-0.0007935703,5.483471e-05,0.0010767032,0.0017762762,0.25510788,0.3158448,0.0009990142,0.3878282,0.7942492,0.0023204074,0.0025212918,0.00014200606,-0.007951102,-0.016875332,1.0099837,1.0194085,1.0194085,1.0194085,1.0194085,0.98242,0.98242,0.9594773,0.9529755,0.89169335,1.001105,1.0055249,1.0055249,1.0055249,0.9988951,0.99834263,0.9985636,0.9972376,0.97469616,0.9344752,0.8,0.65,0.575,0.68333334,0.84166664,0.6377971,0.4752821,0.67615354,0.70784825,0.8480328,0.4,0.2,0.6,0.73333335,0.8666667,0.2,0.6,0.25,0.06666667,0.1,0.2,-0.4,0.35,0.6666667,0.76666665,0.87402886,0.7172127,-0.3784167,-0.40436357,-0.6477875,0.91539186,0.65042424,-0.36568782,-0.24394034,-0.077856384,0.6,0.5,0.4,0.5,0.46666667,0.4,0.5,0.45,0.4,0.45,0.2,0.0,-0.05,0.1,0.016666668,0.56410193,0.5099992,0.4695339,0.5780487,0.56935114,0.43589807,0.49000078,0.53046614,0.42195132,0.43064883,0.12820385,0.01999845,-0.060932238,0.15609737,0.13870233,1.2012957,1.313432,1.6224647,1.7684591,2.0997958,0.35456398,0.43166447,0.580945,0.5612637,0.76450497,0.9733654,0.8861924,1.8645868,1.6051443,1.3635436,0.46235368,0.45148143,0.41797298,0.46996388,0.4668957,0.5376463,0.54851854,0.582027,0.5300361,0.5331043,-0.07529263,-0.09703713,-0.16405404,-0.06007224,-0.0662086,2.5302696825768165
4,SZ000708,0.033960835647051775,1.0,,,,,,2026-04-14,-0.020479813,0.031012284,-0.66037744,0.004095888,0.1320731,0.0064365817,0.20754942,-0.01813912,-0.58490115,1.020908,1.0250895,0.9934288,1.0061914,0.9611782,0.99158406,0.9736663,1.0597258,0.94923306,1.0072485,0.99314505,0.98166823,1.0009592,0.976725,0.008920496,0.017953712,0.021856602,0.035535205,0.045709502,0.0013845522,0.004122395,0.002309322,-0.0020770256,0.0011920419,0.06022553,0.48328367,0.3907254,0.26476938,0.2074292,-0.0100176,-0.011695845,-0.003606774,0.029157672,-0.011890238,1.0250895,1.0250895,1.0250895,1.0806061,1.0954816,0.9629375,0.95400965,0.928921,0.928921,0.8823103,1.0150399,1.0110221,0.997068,1.0410478,1.0194108,0.9991584,0.9769784,0.9607981,0.97342193,0.9377222,0.4,0.7,0.85,0.6,0.75,0.59632015,0.6470234,0.73910874,0.4685959,0.55208975,1.0,1.0,1.0,0.033333335,0.48333332,0.2,0.5,0.3,0.53333336,0.28333333,0.8,0.5,0.7,-0.5,0.2,-0.47854233,-0.19309959,-0.39977515,0.0019053823,0.04966261,-0.18579274,0.09602417,-0.2263598,-0.44948223,-0.08520147,0.8,0.6,0.65,0.53333336,0.51666665,0.2,0.4,0.35,0.46666667,0.48333332,0.6,0.2,0.3,0.06666667,0.033333335,0.7782109,0.52714545,0.5444955,0.42916942,0.5258145,0.22178912,0.47285455,0.45550448,0.5708306,0.47418553,0.55642176,0.05429087,0.08899106,-0.14166118,0.051628955,1.1416922,1.1510288,1.2927305,1.3964878,1.5610967,0.2122988,0.20611514,0.3801327,0.46424028,0.6502947,1.0754987,0.81188947,0.7960132,1.30238,1.7711734,0.16102682,0.46862948,0.37243208,0.40984982,0.4882166,0.83897316,0.5313705,0.62756795,0.5901502,0.51178336,-0.6779464,-0.06274103,-0.25513583,-0.18030037,-0.023566768,2.4887226464316297
5,SH601077,0.03832161783576535,0.8260869565217391,,,,SH601077,渝农商行,2026-04-14,-0.0013624368,0.03405998,-0.0400011,0.028610338,0.83999866,0.004087206,0.12000024,-0.025885569,-0.7599995,1.0013644,1.0300137,0.99590725,1.0081242,0.94277674,0.9568481,0.96060044,0.8864916,0.8677299,0.9909944,0.9761726,0.9669794,0.95265794,0.9110069,0.010051097,0.018980376,0.017517231,0.027432472,0.05102001,0.0058161253,0.0047074817,0.0019805618,0.002653772,0.0027233434,0.8371063,0.5638702,0.4474185,0.7252689,0.86900765,-0.0026266454,0.0026436886,0.014205273,0.008862365,0.008654457,1.0300137,1.0300137,1.0300137,1.0300137,1.0300137,0.9321081,0.9321081,0.93144894,0.8773666,0.80841994,1.0,0.9954972,0.97973734,0.9761726,0.96060044,0.9808631,0.9613509,0.954409,0.9234522,0.8617261,0.9,0.95,0.975,0.98333335,0.9916667,0.6934427,0.6934427,0.69549274,0.8033787,0.8645554,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.35,0.033333335,0.1,0.8,0.4,0.65,0.96666664,0.9,-0.7043532,0.23022723,-0.14628273,-0.47492304,-0.6271534,0.89148706,0.7300297,0.5777769,0.54303545,0.3287262,0.6,0.6,0.65,0.6666667,0.6166667,0.2,0.3,0.3,0.3,0.36666667,0.4,0.3,0.35,0.36666667,0.25,0.96923006,0.68253917,0.58267707,0.6555269,0.5959183,0.03076997,0.31746083,0.41732293,0.3444731,0.40408167,0.93846005,0.36507836,0.16535415,0.3110538,0.19183666,1.2624949,1.1053137,1.2996553,1.506978,1.7735935,0.59882027,0.44592923,0.422141,0.5273161,0.6383325,1.7175949,1.6450118,1.174677,1.0899881,1.1266193,0.53231835,0.4658322,0.4554368,0.45454177,0.47535193,0.46768165,0.5341678,0.54456323,0.54545826,0.5246481,0.064636715,-0.06833561,-0.08912643,-0.09091648,-0.04929614,2.2359400360034667
6,SZ003816,0.03244573909274825,0.9130434782608695,,,,,,2026-04-14,-0.0067114024,0.020134207,-0.33333334,0.0067114024,0.33333334,0.0067114024,0.33333334,-0.0067114024,-0.33333334,1.0067568,1.0135134,0.9932433,1.0025071,1.0135134,1.0366795,0.9536679,0.91505796,0.87837833,1.0123552,1.0177606,0.9989382,0.9819176,0.9294723,0.010449696,0.011026229,0.040258825,0.043745436,0.061590165,-0.0063706506,-0.0030186037,0.0043443567,0.0038528445,0.0031693703,0.9291809,0.68702036,0.40756497,0.60117257,0.80764985,0.00038609054,-0.0041769026,-0.040209603,-0.037783865,-0.022968745,1.0276734,1.0598968,1.0598968,1.0598968,1.0598968,0.9922607,0.9922607,0.9176225,0.890581,0.8510354,1.0231661,1.0235521,1.0274131,1.0231661,1.0065637,1.0046332,1.0088803,0.9444015,0.9362934,0.8745174,0.2,0.1,0.35,0.56666666,0.78333336,0.21854696,0.114425875,0.57900476,0.64624196,0.71322215,0.4,0.2,0.6,0.73333335,0.8666667,0.8,0.9,0.2,0.06666667,0.23333333,-0.4,-0.7,0.4,0.6666667,0.6333333,0.5229828,0.5847844,0.16468386,0.057182737,0.4529935,0.081692584,-0.2794733,0.19259137,0.22461435,0.2607521,0.2,0.3,0.4,0.5,0.46666667,0.6,0.6,0.55,0.46666667,0.43333334,-0.4,-0.3,-0.15,0.033333335,0.033333335,0.2941178,0.24324371,0.6000001,0.6195651,0.60750854,0.7058822,0.7567563,0.39999992,0.38043487,0.3924915,-0.4117644,-0.51351255,0.20000014,0.23913026,0.21501702,1.3579333,1.5569179,2.034654,2.0611951,1.7393042,0.29634246,0.46467674,0.9063181,0.74885297,0.6944171,0.961224,1.1140473,1.3007929,1.1666498,1.3067255,0.45852083,0.34886634,0.44772837,0.44336104,0.49604622,0.5414792,0.65113366,0.5522716,0.55663896,0.5039538,-0.082958326,-0.3022673,-0.10454324,-0.11327791,-0.007907576,2.2271360148621686
7,SH600372,0.03361386516840334,0.6086956521739131,,,,SH600372,中航机载,2026-04-14,0.009146402,0.014481702,0.63158333,0.0007621398,0.052627776,0.004573161,0.3157889,0.012957423,0.89474446,0.9909365,1.0007552,0.9864048,0.9937572,0.96160346,0.98502773,1.0642357,1.2139579,1.1714561,0.98768413,0.9804395,0.98781693,1.0329227,1.1119496,0.01048735,0.013100808,0.025108162,0.0707279,0.0981954,0.0014972272,0.0015572291,-0.0018485592,-0.006838153,-0.0046314015,0.050954666,0.12951507,0.18971641,0.72443235,0.67848843,0.009321435,0.012552981,0.029744385,0.066230446,0.024676759,1.000879,1.0090791,1.0718744,1.2176194,1.281755,0.9705641,0.95631576,0.9443029,0.9443029,0.9443029,0.9976817,0.98918134,0.9976817,1.1227722,1.2056508,0.9795218,0.9724221,0.97406423,0.9764308,0.98676646,1.0,1.0,0.85,0.56666666,0.28333333,0.9710046,0.8279274,0.43659505,0.20378238,0.1650518,0.2,0.1,0.05,0.13333334,0.016666668,0.4,0.5,0.25,0.5,0.75,-0.2,-0.4,-0.2,-0.36666667,-0.73333335,0.8762746,0.8168105,0.27501878,0.77293307,0.7940658,0.9272482,0.7695327,0.028715465,0.07220028,0.3157158,0.8,0.6,0.55,0.5,0.48333332,0.2,0.4,0.45,0.5,0.51666665,0.6,0.2,0.1,0.0,-0.033333335,0.7373135,0.5635247,0.40348345,0.32406685,0.4464232,0.26268646,0.43647528,0.59651655,0.6759332,0.55357677,0.47462705,0.12704943,-0.1930331,-0.35186633,-0.10715358,0.8923143,0.8143451,0.9042354,1.1730831,2.1749778,0.08909044,0.15398593,0.19865379,0.5675365,1.539071,0.85770494,1.0147846,0.96142834,1.6294587,1.7046312,0.7626245,0.5042687,0.4934915,0.41711128,0.39293706,0.23737553,0.4957313,0.5065085,0.5828887,0.60706294,0.52524894,0.008537414,-0.013017019,-0.16577746,-0.21412586,1.984610921038343
